542036,2019,french+ligue+1,179,6000bf,Toulouse,6997,ef2f24,Brest
542037,2019,french+ligue+1,3170,ef2f24,Dijon FCO,166,ffe566,Lille
542038,2019,french+ligue+1,159,00003e,Bordeaux,167,0000bf,Lyon
542039,2019,french+ligue+1,169,ef2f24,Stade Rennes,176,94cbf6,Marseille
542040,2019,french+ligue+1,3335,1a1a1a,SC Amiens,274,011F68,Montpellier
542041,2019,french+ligue+1,178,C8142F,Saint-Etienne,165,ffff00,Nantes
542042,2019,french+ligue+1,7868,1a1a1a,Angers,2502,C60000,Nice
542043,2019,french+ligue+1,7730,ef2f24,Nimes,3243,2a2afe,Stade de Reims
542044,2019,french+ligue+1,177,8C3140,Metz,180,0000bf,Strasbourg
542045,2019,french+ligue+1,165,ffff00,Nantes,7868,1a1a1a,Angers
542046,2019,french+ligue+1,169,ef2f24,Stade Rennes,159,00003e,Bordeaux
542047,2019,french+ligue+1,274,011F68,Montpellier,6997,ef2f24,Brest
542048,2019,french+ligue+1,174,E91514,AS Monaco,166,ffe566,Lille
542049,2019,french+ligue+1,3243,ef2f24,Stade de Reims,167,0000bf,Lyon
542050,2019,french+ligue+1,3170,ef2f24,Dijon FCO,177,8C3140,Metz
542051,2019,french+ligue+1,176,94cbf6,Marseille,7730,ef2f24,Nimes
542052,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,3335,000099,SC Amiens
542053,2019,french+ligue+1,180,0000bf,Strasbourg,178,C8142F,Saint-Etienne
542054,2019,french+ligue+1,2502,C60000,Nice,179,6000bf,Toulouse
542055,2019,french+ligue+1,7868,1a1a1a,Angers,174,E91514,AS Monaco
542056,2019,french+ligue+1,3335,1a1a1a,SC Amiens,3170,ef2f24,Dijon FCO
542057,2019,french+ligue+1,177,8C3140,Metz,176,94cbf6,Marseille
542058,2019,french+ligue+1,166,ef2f24,Lille,274,011F68,Montpellier
542059,2019,french+ligue+1,7730,ef2f24,Nimes,165,ffff00,Nantes
542060,2019,french+ligue+1,6997,ef2f24,Brest,2502,e6e6e6,Nice
542061,2019,french+ligue+1,178,C8142F,Saint-Etienne,160,00003e,Paris Saint-Germain 
542062,2019,french+ligue+1,167,0000bf,Lyon,169,ef2f24,Stade Rennes
542063,2019,french+ligue+1,179,6000bf,Toulouse,3243,ef2f24,Stade de Reims
542064,2019,french+ligue+1,159,00003e,Bordeaux,180,0000bf,Strasbourg
542065,2019,french+ligue+1,169,ef2f24,Stade Rennes,7868,1a1a1a,Angers
542066,2019,french+ligue+1,176,94cbf6,Marseille,159,00003e,Bordeaux
542067,2019,french+ligue+1,166,ef2f24,Lille,6997,1a1a1a,Brest
542068,2019,french+ligue+1,165,ffff00,Nantes,3170,ef2f24,Dijon FCO
542069,2019,french+ligue+1,7730,ef2f24,Nimes,167,0000bf,Lyon
542070,2019,french+ligue+1,2502,C60000,Nice,177,8C3140,Metz
542071,2019,french+ligue+1,274,011F68,Montpellier,160,ef2f24,Paris Saint-Germain 
542072,2019,french+ligue+1,174,E91514,AS Monaco,3335,1a1a1a,SC Amiens
542073,2019,french+ligue+1,3243,ef2f24,Stade de Reims,178,000099,Saint-Etienne
542074,2019,french+ligue+1,180,0000bf,Strasbourg,179,6000bf,Toulouse
542075,2019,french+ligue+1,179,6000bf,Toulouse,174,E91514,AS Monaco
542076,2019,french+ligue+1,167,0000bf,Lyon,166,ef2f24,Lille
542077,2019,french+ligue+1,7868,1a1a1a,Angers,176,94cbf6,Marseille
542078,2019,french+ligue+1,3170,ef2f24,Dijon FCO,274,011F68,Montpellier
542079,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,165,ffff00,Nantes
542080,2019,french+ligue+1,178,C8142F,Saint-Etienne,2502,e6e6e6,Nice
542081,2019,french+ligue+1,159,00003e,Bordeaux,7730,ef2f24,Nimes
542082,2019,french+ligue+1,177,8C3140,Metz,169,ef2f24,Stade Rennes
542083,2019,french+ligue+1,3335,1a1a1a,SC Amiens,3243,ef2f24,Stade de Reims
542084,2019,french+ligue+1,6997,ef2f24,Brest,180,0000bf,Strasbourg
542085,2019,french+ligue+1,2502,C60000,Nice,7868,1a1a1a,Angers
542086,2019,french+ligue+1,3243,ef2f24,Stade de Reims,159,00003e,Bordeaux
542087,2019,french+ligue+1,176,94cbf6,Marseille,6997,ef2f24,Brest
542088,2019,french+ligue+1,166,ef2f24,Lille,3170,000099,Dijon FCO
542089,2019,french+ligue+1,180,0000bf,Strasbourg,167,C8142F,Lyon
542090,2019,french+ligue+1,7730,ef2f24,Nimes,177,8C3140,Metz
542091,2019,french+ligue+1,174,E91514,AS Monaco,160,00003e,Paris Saint-Germain 
542092,2019,french+ligue+1,274,011F68,Montpellier,3335,1a1a1a,SC Amiens
542093,2019,french+ligue+1,169,ef2f24,Stade Rennes,178,000099,Saint-Etienne
542094,2019,french+ligue+1,165,ffff00,Nantes,179,6000bf,Toulouse
542095,2019,french+ligue+1,159,00003e,Bordeaux,174,E91514,AS Monaco
542096,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,166,ef2f24,Lille
542097,2019,french+ligue+1,179,6000bf,Toulouse,176,94cbf6,Marseille
542098,2019,french+ligue+1,178,C8142F,Saint-Etienne,274,011F68,Montpellier
542099,2019,french+ligue+1,6997,ef2f24,Brest,165,ffff00,Nantes
