Season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021,Regular Season,18,Sat,2020-12-12,15:00,Middlesbrough,3–0,Millwall,,Riverside Stadium,Darren Bond,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Wycombe,1–2,Coventry City,2000,Adams Park,Andrew Davies,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Sheffield Weds,1–2,Barnsley,,Hillsborough Stadium,James Linington,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Birmingham City,0–1,Watford,,St Andrew's Trillion Trophy Stadium,Matt Donohue,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Rotherham Utd,2–0,Bristol City,,New York Stadium,Leigh Doughty,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Blackburn,1–2,Norwich City,,Ewood Park,Dean Whitestone,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Bournemouth,5–0,Huddersfield,2000,Vitality Stadium,Oliver Langford,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Luton Town,3–0,Preston,2000,Kenilworth Road Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Derby County,0–0,Stoke City,,iPro Stadium,Andy Woolmer,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,Nott'ham Forest,1–3,Brentford,,The City Ground,Geoff Eltringham,Match Report,
2021,Regular Season,19,Tue,2020-12-15,17:30,QPR,0–0,Stoke City,2000,Loftus Road Stadium,Keith Stroud,Match Report,
2021,Regular Season,19,Tue,2020-12-15,19:45,Bristol City,0–2,Millwall,,Ashton Gate Stadium,David Webb,Match Report,
2021,Regular Season,19,Tue,2020-12-15,19:45,Nott'ham Forest,2–0,Sheffield Weds,,The City Ground,Steve Martin,Match Report,
2021,Regular Season,19,Tue,2020-12-15,19:45,Bournemouth,1–0,Wycombe,2000,Vitality Stadium,Matt Donohue,Match Report,
2021,Regular Season,19,Tue,2020-12-15,19:45,Barnsley,2–1,Preston,,Oakwell Stadium,Dean Whitestone,Match Report,
2021,Regular Season,19,Tue,2020-12-15,20:00,Watford,1–1,Brentford,,Vicarage Road Stadium,James Linington,Match Report,
2021,Regular Season,19,Wed,2020-12-16,17:30,Derby County,2–0,Swansea City,,iPro Stadium,Gavin Ward,Match Report,
2021,Regular Season,19,Wed,2020-12-16,19:00,Middlesbrough,1–0,Luton Town,,Riverside Stadium,Andrew Davies,Match Report,
2021,Regular Season,19,Wed,2020-12-16,19:00,Cardiff City,3–2,Birmingham City,,Cardiff City Stadium,Michael Salisbury,Match Report,
2021,Regular Season,19,Wed,2020-12-16,19:45,Blackburn,2–1,Rotherham Utd,,Ewood Park,Jarred Gillett,Match Report,
2021,Regular Season,19,Wed,2020-12-16,20:00,Coventry City,0–0,Huddersfield,,St Andrew's Trillion Trophy Stadium,Tim Robinson,Match Report,
2021,Regular Season,19,Wed,2020-12-16,20:00,Reading,1–2,Norwich City,,Madejski Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,20,Fri,2020-12-18,20:00,Preston,1–0,Bristol City,,Deepdale Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,20,Sat,2020-12-19,12:30,Norwich City,2–0,Cardiff City,2000,Carrow Road,Tim Robinson,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Huddersfield,2–0,Watford,,The John Smith's Stadium,Leigh Doughty,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Luton Town,0–0,Bournemouth,,Kenilworth Road Stadium,Dean Whitestone,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Brentford,3–1,Reading,,Brentford Community Stadium,Keith Stroud,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Wycombe,1–1,QPR,,Adams Park,Gavin Ward,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Swansea City,2–0,Barnsley,,Liberty Stadium,Andrew Davies,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Birmingham City,1–4,Middlesbrough,,St Andrew's Trillion Trophy Stadium,Steve Martin,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Sheffield Weds,1–0,Coventry City,,Hillsborough Stadium,John Brooks,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Stoke City,1–0,Blackburn,,Bet365 Stadium,David Webb,Match Report,
2021,Regular Season,20,Sat,2020-12-19,15:00,Millwall,1–1,Nott'ham Forest,,The Den,Oliver Langford,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Coventry City,0–0,Stoke City,,St Andrew's Trillion Trophy Stadium,Jarred Gillett,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Barnsley,2–1,Huddersfield,,Oakwell Stadium,David Webb,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Reading,2–1,Luton Town,,Madejski Stadium,Matt Donohue,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Nott'ham Forest,0–0,Birmingham City,,The City Ground,Jeremy Simpson,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Bristol City,2–1,Wycombe,,Ashton Gate Stadium,Keith Stroud,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Cardiff City,2–3,Brentford,,Cardiff City Stadium,Dean Whitestone,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Derby County,0–1,Preston,,iPro Stadium,Darren Bond,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,Blackburn,1–1,Sheffield Weds,,Ewood Park,Tony Harrington,Match Report,
2021,Regular Season,21,Sat,2020-12-26,15:00,QPR,0–2,Swansea City,,Loftus Road Stadium,Steve Martin,Match Report,
2021,Regular Season,21,Sat,2020-12-26,19:45,Watford,1–0,Norwich City,,Vicarage Road Stadium,John Brooks,Match Report,
2021,Regular Season,22,Tue,2020-12-29,17:30,Birmingham City,0–4,Derby County,,St Andrew's Trillion Trophy Stadium,Tony Harrington,Match Report,
2021,Regular Season,22,Tue,2020-12-29,19:00,Sheffield Weds,2–1,Middlesbrough,,Hillsborough Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,22,Tue,2020-12-29,19:45,Rotherham Utd,1–2,Barnsley,,New York Stadium,Steve Martin,Match Report,
2021,Regular Season,22,Tue,2020-12-29,19:45,Preston,2–0,Coventry City,,Deepdale Stadium,Keith Stroud,Match Report,
2021,Regular Season,22,Tue,2020-12-29,19:45,Norwich City,1–1,QPR,,Carrow Road,Oliver Langford,Match Report,
2021,Regular Season,22,Tue,2020-12-29,19:45,Wycombe,2–1,Cardiff City,,Adams Park,Leigh Doughty,Match Report,
2021,Regular Season,22,Tue,2020-12-29,19:45,Luton Town,2–1,Bristol City,,Kenilworth Road Stadium,Gavin Ward,Match Report,
2021,Regular Season,22,Tue,2020-12-29,19:45,Huddersfield,2–1,Blackburn,,The John Smith's Stadium,Matt Donohue,Match Report,
2021,Regular Season,22,Tue,2020-12-29,20:00,Stoke City,1–1,Nott'ham Forest,,Bet365 Stadium,Dean Whitestone,Match Report,
2021,Regular Season,22,Wed,2020-12-30,17:30,Brentford,2–1,Bournemouth,,Brentford Community Stadium,Jarred Gillett,Match Report,
2021,Regular Season,22,Wed,2020-12-30,20:00,Swansea City,0–0,Reading,,Liberty Stadium,David Webb,Match Report,
2021,Regular Season,23,Fri,2021-01-01,17:30,Sheffield Weds,1–0,Derby County,,Hillsborough Stadium,Matt Donohue,Match Report,
2021,Regular Season,23,Sat,2021-01-02,15:00,Huddersfield,1–2,Reading,,The John Smith's Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,23,Sat,2021-01-02,15:00,Wycombe,1–3,Middlesbrough,,Adams Park,Jarred Gillett,Match Report,
2021,Regular Season,23,Sat,2021-01-02,15:00,Millwall,1–2,Coventry City,,The Den,James Linington,Match Report,
2021,Regular Season,23,Sat,2021-01-02,15:00,Norwich City,1–0,Barnsley,,Carrow Road,Michael Salisbury,Match Report,
2021,Regular Season,23,Sat,2021-01-02,15:00,Birmingham City,0–2,Blackburn,,St Andrew's Trillion Trophy Stadium,Gavin Ward,Match Report,
2021,Regular Season,23,Sat,2021-01-02,15:00,Preston,0–1,Nott'ham Forest,,Deepdale Stadium,Tim Robinson,Match Report,
2021,Regular Season,23,Sat,2021-01-02,15:00,Swansea City,2–1,Watford,,Liberty Stadium,Darren Bond,Match Report,
2021,Regular Season,23,Sat,2021-01-02,19:45,Stoke City,0–1,Bournemouth,,Bet365 Stadium,John Brooks,Match Report,
2021,Regular Season,23,Tue,2021-01-12,19:00,Luton Town,0–2,QPR,,Kenilworth Road Stadium,Andy Woolmer,Match Report,
2021,Regular Season,21,Tue,2021-01-12,19:45,Bournemouth,1–1,Millwall,,Vitality Stadium,Tim Robinson,Match Report,
2021,Regular Season,24,Sat,2021-01-16,12:30,Middlesbrough,0–1,Birmingham City,,Riverside Stadium,Darren England,Match Report,
2021,Regular Season,24,Sat,2021-01-16,15:00,Watford,2–0,Huddersfield,,Vicarage Road Stadium,Michael Salisbury,Match Report,
2021,Regular Season,24,Sat,2021-01-16,15:00,Cardiff City,1–2,Norwich City,,Cardiff City Stadium,Tony Harrington,Match Report,
2021,Regular Season,24,Sat,2021-01-16,15:00,Bournemouth,0–1,Luton Town,,Vitality Stadium,David Webb,Match Report,
2021,Regular Season,24,Sat,2021-01-16,15:00,Nott'ham Forest,3–1,Millwall,,The City Ground,Keith Stroud,Match Report,
2021,Regular Season,24,Sat,2021-01-16,15:00,Bristol City,2–0,Preston,,Ashton Gate Stadium,Dean Whitestone,Match Report,
2021,Regular Season,24,Sat,2021-01-16,15:00,Blackburn,1–1,Stoke City,,Ewood Park,Geoff Eltringham,Match Report,
2021,Regular Season,24,Sat,2021-01-16,15:00,Derby County,0–1,Rotherham Utd,,iPro Stadium,James Linington,Match Report,
2021,Regular Season,24,Sat,2021-01-16,19:45,Barnsley,0–2,Swansea City,,Oakwell Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,25,Tue,2021-01-19,18:00,Reading,3–0,Coventry City,,Madejski Stadium,Dean Whitestone,Match Report,
2021,Regular Season,25,Tue,2021-01-19,18:00,Derby County,1–0,Bournemouth,,iPro Stadium,Oliver Langford,Match Report,
2021,Regular Season,25,Tue,2021-01-19,19:45,Rotherham Utd,3–3,Stoke City,,New York Stadium,Matt Donohue,Match Report,
2021,Regular Season,25,Tue,2021-01-19,19:45,Watford,1–0,Barnsley,,Vicarage Road Stadium,Tim Robinson,Match Report,
2021,Regular Season,25,Wed,2021-01-20,18:00,Norwich City,2–0,Bristol City,,Carrow Road,James Linington,Match Report,
2021,Regular Season,25,Wed,2021-01-20,19:00,Cardiff City,0–1,QPR,,Cardiff City Stadium,Darren Bond,Match Report,
2021,Regular Season,25,Wed,2021-01-20,19:00,Brentford,1–0,Luton Town,,Brentford Community Stadium,Steve Martin,Match Report,
2021,Regular Season,25,Wed,2021-01-20,19:00,Nott'ham Forest,1–2,Middlesbrough,,The City Ground,Andy Woolmer,Match Report,
2021,Regular Season,25,Wed,2021-01-20,19:00,Huddersfield,0–1,Millwall,,The John Smith's Stadium,Peter Bankes,Match Report,
2021,Regular Season,25,Wed,2021-01-20,19:45,Birmingham City,0–1,Preston,,St Andrew's Trillion Trophy Stadium,Tony Harrington,Match Report,
2021,Regular Season,26,Fri,2021-01-22,19:45,Stoke City,1–2,Watford,,Bet365 Stadium,Oliver Langford,Match Report,
2021,Regular Season,26,Sat,2021-01-23,15:00,QPR,0–1,Derby County,,Loftus Road Stadium,Tim Robinson,Match Report,
2021,Regular Season,26,Sun,2021-01-24,12:30,Preston,0–0,Reading,,Deepdale Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,26,Sun,2021-01-24,15:00,Middlesbrough,0–1,Blackburn,,Riverside Stadium,Dean Whitestone,Match Report,
2021,Regular Season,22,Tue,2021-01-26,19:00,Millwall,0–0,Watford,,The Den,Jeremy Simpson,Match Report,
2021,Regular Season,26,Tue,2021-01-26,19:00,Bristol City,2–1,Huddersfield,,Ashton Gate Stadium,Steve Martin,Match Report,
2021,Regular Season,21,Wed,2021-01-27,19:00,Middlesbrough,0–3,Rotherham Utd,,Riverside Stadium,Michael Salisbury,Match Report,
2021,Regular Season,24,Wed,2021-01-27,19:00,Coventry City,2–0,Sheffield Weds,,St Andrew's Trillion Trophy Stadium,Leigh Doughty,Match Report,
2021,Regular Season,26,Wed,2021-01-27,19:00,Barnsley,2–2,Cardiff City,,Oakwell Stadium,Andy Woolmer,Match Report,
2021,Regular Season,26,Wed,2021-01-27,19:00,Swansea City,1–1,Brentford,,Liberty Stadium,John Brooks,Match Report,
2021,Regular Season,27,Fri,2021-01-29,20:00,Reading,3–1,Bournemouth,,Madejski Stadium,James Linington,Match Report,
2021,Regular Season,27,Sat,2021-01-30,12:30,Norwich City,0–0,Middlesbrough,,Carrow Road,Keith Stroud,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Nott'ham Forest,0–0,Barnsley,,The City Ground,Leigh Doughty,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Brentford,7–2,Wycombe,,Brentford Community Stadium,Michael Salisbury,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Huddersfield,1–1,Stoke City,,The John Smith's Stadium,Gavin Ward,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Derby County,1–0,Bristol City,,iPro Stadium,Darren England,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Sheffield Weds,1–0,Preston,,Hillsborough Stadium,Andre Marriner,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Rotherham Utd,1–3,Swansea City,,New York Stadium,Tony Harrington,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Blackburn,1–0,Luton Town,,Ewood Park,Jeremy Simpson,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Cardiff City,1–1,Millwall,,Cardiff City Stadium,Matt Donohue,Match Report,
2021,Regular Season,27,Sat,2021-01-30,15:00,Birmingham City,1–1,Coventry City,,St Andrew's Trillion Trophy Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,27,Mon,2021-02-01,19:45,Watford,1–2,QPR,,Vicarage Road Stadium,Jarred Gillett,Match Report,
2021,Regular Season,26,Tue,2021-02-02,18:00,Millwall,0–0,Norwich City,,The Den,Steve Martin,Match Report,
2021,Regular Season,26,Tue,2021-02-02,19:00,Coventry City,1–2,Nott'ham Forest,,St Andrew's Trillion Trophy Stadium,Tony Harrington,Match Report,
2021,Regular Season,26,Tue,2021-02-02,19:00,Bournemouth,1–2,Sheffield Weds,,Vitality Stadium,Andy Woolmer,Match Report,
2021,Regular Season,26,Tue,2021-02-02,19:00,Wycombe,0–0,Birmingham City,,Adams Park,John Brooks,Match Report,
2021,Regular Season,20,Wed,2021-02-03,19:00,Rotherham Utd,3–0,Derby County,,New York Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,23,Wed,2021-02-03,19:45,Brentford,3–2,Bristol City,,Brentford Community Stadium,Tim Robinson,Match Report,
2021,Regular Season,28,Fri,2021-02-05,20:15,Swansea City,2–0,Norwich City,,Liberty Stadium,Simon Hooper,Match Report,
2021,Regular Season,28,Sat,2021-02-06,12:30,Coventry City,0–0,Watford,,St Andrew's Trillion Trophy Stadium,Graham Scott,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Preston,1–2,Rotherham Utd,,Deepdale Stadium,Gavin Ward,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,QPR,1–0,Blackburn,,Loftus Road Stadium,Tony Harrington,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Bournemouth,3–2,Birmingham City,,Vitality Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Millwall,4–1,Sheffield Weds,,The Den,Geoff Eltringham,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Middlesbrough,1–4,Brentford,,Riverside Stadium,Darren Bond,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Stoke City,0–0,Reading,,Bet365 Stadium,Tim Robinson,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Wycombe,0–3,Nott'ham Forest,,Adams Park,James Linington,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Luton Town,1–1,Huddersfield,,Kenilworth Road Stadium,Leigh Doughty,Match Report,
2021,Regular Season,28,Sat,2021-02-06,15:00,Bristol City,0–2,Cardiff City,,Ashton Gate Stadium,Jarred Gillett,Match Report,
2021,Regular Season,23,Tue,2021-02-09,19:00,Rotherham Utd,1–2,Cardiff City,,New York Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,25,Tue,2021-02-09,19:00,Sheffield Weds,2–0,Wycombe,,Hillsborough Stadium,Gavin Ward,Match Report,
2021,Regular Season,24,Wed,2021-02-10,19:00,Reading,1–3,Brentford,,Madejski Stadium,Tony Harrington,Match Report,
2021,Regular Season,29,Fri,2021-02-12,19:45,Blackburn,1–2,Preston,,Ewood Park,David Webb,Match Report,
2021,Regular Season,29,Sat,2021-02-13,12:30,Nott'ham Forest,0–0,Bournemouth,,The City Ground,Chris Kavanagh,Match Report,
2021,Regular Season,29,Sat,2021-02-13,15:00,Birmingham City,0–1,Luton Town,,St Andrew's Trillion Trophy Stadium,Gavin Ward,Match Report,
2021,Regular Season,29,Sat,2021-02-13,15:00,Huddersfield,2–3,Wycombe,,The John Smith's Stadium,Keith Stroud,Match Report,
2021,Regular Season,29,Sat,2021-02-13,15:00,Reading,1–2,Millwall,,Madejski Stadium,Andy Woolmer,Match Report,
2021,Regular Season,29,Sat,2021-02-13,15:00,Norwich City,4–1,Stoke City,,Carrow Road,Jeremy Simpson,Match Report,
2021,Regular Season,29,Sat,2021-02-13,15:00,Watford,6–0,Bristol City,,Vicarage Road Stadium,John Brooks,Match Report,
2021,Regular Season,29,Sat,2021-02-13,15:00,Derby County,2–1,Middlesbrough,,iPro Stadium,Matt Donohue,Match Report,
2021,Regular Season,29,Sat,2021-02-13,15:00,Cardiff City,3–1,Coventry City,,Cardiff City Stadium,James Linington,Match Report,
2021,Regular Season,29,Sun,2021-02-14,13:00,Brentford,0–2,Barnsley,,Brentford Community Stadium,David Coote,Match Report,
2021,Regular Season,30,Tue,2021-02-16,19:00,Preston,0–1,Watford,,Deepdale Stadium,Tony Harrington,Match Report,
2021,Regular Season,30,Tue,2021-02-16,19:00,Stoke City,1–0,Sheffield Weds,,Bet365 Stadium,James Linington,Match Report,
2021,Regular Season,30,Tue,2021-02-16,19:45,Bristol City,0–2,Reading,,Ashton Gate Stadium,Oliver Langford,Match Report,
2021,Regular Season,30,Tue,2021-02-16,19:45,Wycombe,1–2,Derby County,,Adams Park,Kevin Friend,Match Report,
2021,Regular Season,30,Tue,2021-02-16,19:45,Middlesbrough,2–1,Huddersfield,,Riverside Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,30,Tue,2021-02-16,20:15,Luton Town,0–2,Cardiff City,,Kenilworth Road Stadium,Tim Robinson,Match Report,
2021,Regular Season,30,Wed,2021-02-17,19:00,Millwall,2–0,Birmingham City,,The Den,Darren Bond,Match Report,
2021,Regular Season,30,Wed,2021-02-17,19:00,Swansea City,1–0,Nott'ham Forest,,Liberty Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,30,Wed,2021-02-17,19:00,Coventry City,0–2,Norwich City,,St Andrew's Trillion Trophy Stadium,Jarred Gillett,Match Report,
2021,Regular Season,30,Wed,2021-02-17,19:00,QPR,2–1,Brentford,,Loftus Road Stadium,Gavin Ward,Match Report,
2021,Regular Season,30,Wed,2021-02-17,19:45,Barnsley,2–1,Blackburn,,Oakwell Stadium,Matt Donohue,Match Report,
2021,Regular Season,30,Wed,2021-02-17,20:15,Bournemouth,1–0,Rotherham Utd,,Vitality Stadium,Keith Stroud,Match Report,
2021,Regular Season,31,Fri,2021-02-19,19:45,Watford,2–1,Derby County,,Vicarage Road Stadium,Tim Robinson,Match Report,
2021,Regular Season,31,Sat,2021-02-20,12:30,Coventry City,2–0,Brentford,,St Andrew's Trillion Trophy Stadium,Steve Martin,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Stoke City,3–0,Luton Town,,Bet365 Stadium,Robert Jones,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Norwich City,1–0,Rotherham Utd,,Carrow Road,Tony Harrington,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Millwall,0–0,Wycombe,,The Den,Jarred Gillett,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Nott'ham Forest,1–0,Blackburn,,The City Ground,Keith Stroud,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Sheffield Weds,0–1,Birmingham City,,Hillsborough Stadium,Lee Mason,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Huddersfield,4–1,Swansea City,,The John Smith's Stadium,John Brooks,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Cardiff City,4–0,Preston,,Cardiff City Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Reading,0–2,Middlesbrough,,Madejski Stadium,David Webb,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,Bristol City,0–1,Barnsley,,Ashton Gate Stadium,James Linington,Match Report,
2021,Regular Season,31,Sat,2021-02-20,15:00,QPR,2–1,Bournemouth,,Loftus Road Stadium,Darren Bond,Match Report,
2021,Regular Season,32,Tue,2021-02-23,19:00,Birmingham City,1–3,Norwich City,,St Andrew's Trillion Trophy Stadium,Oliver Langford,Match Report,
2021,Regular Season,32,Tue,2021-02-23,19:00,Middlesbrough,1–3,Bristol City,,Riverside Stadium,Tim Robinson,Match Report,
2021,Regular Season,32,Tue,2021-02-23,19:00,Derby County,2–0,Huddersfield,,iPro Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,32,Tue,2021-02-23,19:45,Wycombe,1–0,Reading,,Adams Park,Dean Whitestone,Match Report,
2021,Regular Season,32,Tue,2021-02-23,19:45,Luton Town,1–1,Millwall,,Kenilworth Road Stadium,Graham Scott,Match Report,
2021,Regular Season,32,Tue,2021-02-23,19:45,Rotherham Utd,0–1,Nott'ham Forest,,New York Stadium,Matt Donohue,Match Report,
2021,Regular Season,32,Wed,2021-02-24,19:00,Barnsley,2–0,Stoke City,,Oakwell Stadium,Darren Bond,Match Report,
2021,Regular Season,32,Wed,2021-02-24,19:00,Swansea City,1–0,Coventry City,,Liberty Stadium,Andy Woolmer,Match Report,
2021,Regular Season,32,Wed,2021-02-24,19:00,Brentford,3–0,Sheffield Weds,,Brentford Community Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,32,Wed,2021-02-24,19:45,Blackburn,2–3,Watford,,Ewood Park,James Linington,Match Report,
2021,Regular Season,32,Wed,2021-02-24,19:45,Preston,0–0,QPR,,Deepdale Stadium,Darren England,Match Report,
2021,Regular Season,32,Wed,2021-02-24,19:45,Bournemouth,1–2,Cardiff City,,Vitality Stadium,Gavin Ward,Match Report,
2021,Regular Season,33,Fri,2021-02-26,19:45,Derby County,1–1,Nott'ham Forest,,iPro Stadium,Oliver Langford,Match Report,
2021,Regular Season,33,Sat,2021-02-27,12:30,Bournemouth,1–0,Watford,,Vitality Stadium,Tony Harrington,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Luton Town,3–2,Sheffield Weds,,Kenilworth Road Stadium,Michael Salisbury,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Middlesbrough,1–1,Cardiff City,,Riverside Stadium,Jarred Gillett,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Birmingham City,2–1,QPR,,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Blackburn,1–1,Coventry City,,Ewood Park,Darren Bond,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Swansea City,1–3,Bristol City,,Liberty Stadium,Keith Stroud,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Preston,3–0,Huddersfield,,Deepdale Stadium,James Linington,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Barnsley,2–1,Millwall,,Oakwell Stadium,Leigh Doughty,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Brentford,2–1,Stoke City,,Brentford Community Stadium,John Brooks,Match Report,
2021,Regular Season,33,Sat,2021-02-27,15:00,Rotherham Utd,0–1,Reading,,New York Stadium,David Coote,Match Report,
2021,Regular Season,33,Sun,2021-02-28,12:00,Wycombe,0–2,Norwich City,,Adams Park,Robert Jones,Match Report,
2021,Regular Season,34,Tue,2021-03-02,19:00,Huddersfield,1–1,Birmingham City,,The John Smith's Stadium,Matt Donohue,Match Report,
2021,Regular Season,34,Tue,2021-03-02,19:00,Coventry City,1–2,Middlesbrough,,St Andrew's Trillion Trophy Stadium,Graham Scott,Match Report,
2021,Regular Season,34,Tue,2021-03-02,19:00,Millwall,2–1,Preston,,The Den,Keith Stroud,Match Report,
2021,Regular Season,34,Tue,2021-03-02,19:00,Cardiff City,4–0,Derby County,,Cardiff City Stadium,Dean Whitestone,Match Report,
2021,Regular Season,34,Tue,2021-03-02,19:45,Nott'ham Forest,0–1,Luton Town,,The City Ground,Jeremy Simpson,Match Report,
2021,Regular Season,34,Tue,2021-03-02,20:00,Reading,1–0,Blackburn,,Madejski Stadium,Gavin Ward,Match Report,
2021,Regular Season,34,Wed,2021-03-03,17:30,Norwich City,1–0,Brentford,,Carrow Road,Tim Robinson,Match Report,
2021,Regular Season,34,Wed,2021-03-03,19:00,Watford,2–0,Wycombe,,Vicarage Road Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,34,Wed,2021-03-03,19:00,QPR,1–3,Barnsley,,Loftus Road Stadium,Andy Woolmer,Match Report,
2021,Regular Season,34,Wed,2021-03-03,19:45,Bristol City,1–2,Bournemouth,,Ashton Gate Stadium,Simon Hooper,Match Report,
2021,Regular Season,34,Wed,2021-03-03,19:45,Sheffield Weds,1–2,Rotherham Utd,,Hillsborough Stadium,Darren Bond,Match Report,
2021,Regular Season,34,Wed,2021-03-03,20:15,Stoke City,1–2,Swansea City,,Bet365 Stadium,David Webb,Match Report,
2021,Regular Season,35,Fri,2021-03-05,19:45,Huddersfield,0–0,Cardiff City,,The John Smith's Stadium,Tim Robinson,Match Report,
2021,Regular Season,35,Sat,2021-03-06,12:30,Watford,1–0,Nott'ham Forest,,Vicarage Road Stadium,Jonathan Moss,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Barnsley,1–0,Birmingham City,,Oakwell Stadium,Graham Scott,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Stoke City,2–0,Wycombe,,Bet365 Stadium,Andy Woolmer,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Bristol City,0–2,QPR,,Ashton Gate Stadium,Tony Harrington,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Preston,1–1,Bournemouth,,Deepdale Stadium,Jarred Gillett,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Coventry City,1–0,Derby County,,St Andrew's Trillion Trophy Stadium,John Brooks,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Norwich City,3–0,Luton Town,,Carrow Road,David Webb,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Reading,3–0,Sheffield Weds,,Madejski Stadium,James Linington,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Millwall,0–2,Blackburn,,The Den,Matt Donohue,Match Report,
2021,Regular Season,35,Sat,2021-03-06,15:00,Swansea City,2–1,Middlesbrough,,Liberty Stadium,Gavin Ward,Match Report,
