BEGIN
CREATE TABLE
INSERT 0 649
 rk  |            team            |              league               |  str  |  ofs  |  dfs  |  sos  
  26 | Real Betis                 | Spanish Primera División          | 2.152 | 1.576 | 0.732 | 1.330
  27 | Internazionale             | Italian Serie A                   | 2.103 | 1.461 | 0.694 | 1.198
  28 | Atalanta                   | Italian Serie A                   | 2.099 | 1.811 | 0.863 | 1.187
  29 | Borussia Monchengladbach   | German Bundesliga                 | 2.087 | 1.693 | 0.811 | 1.250
  30 | Real Sociedad              | Spanish Primera División          | 2.072 | 1.430 | 0.690 | 1.352
  31 | TSG Hoffenheim             | German Bundesliga                 | 2.062 | 1.923 | 0.933 | 1.285
  32 | Athletic Bilbao            | Spanish Primera División          | 1.992 | 1.472 | 0.739 | 1.349
  33 | Wolverhampton Wanderers    | English Premier League            | 1.974 | 1.514 | 0.767 | 1.233
  34 | Bayer Leverkusen           | German Bundesliga                 | 1.971 | 1.739 | 0.883 | 1.228
  35 | PSV Eindhoven              | Dutch Eredivisie                  | 1.970 | 1.788 | 0.907 | 1.008
  36 | Crystal Palace             | English Premier League            | 1.937 | 1.453 | 0.750 | 1.221
  37 | Lyon                       | French Ligue 1                    | 1.927 | 1.613 | 0.837 | 1.204
  38 | Washington Spirit          | United States NWSL Women's League | 1.920 | 1.435 | 0.747 | 1.492
  39 | Eibar                      | Spanish Primera División          | 1.905 | 1.573 | 0.826 | 1.355
  40 | Watford                    | English Premier League            | 1.890 | 1.495 | 0.791 | 1.249
  41 | AC Milan                   | Italian Serie A                   | 1.878 | 1.409 | 0.750 | 1.232
  42 | Espanyol                   | Spanish Primera División          | 1.877 | 1.662 | 0.885 | 1.350
  43 | Alavés                     | Spanish Primera División          | 1.868 | 1.447 | 0.775 | 1.361
  44 | Racing Genk                | Belgian First Division A          | 1.866 | 1.740 | 0.933 | 1.031
  45 | Fiorentina                 | Italian Serie A                   | 1.863 | 1.554 | 0.834 | 1.201
  46 | VfL Wolfsburg              | German Bundesliga                 | 1.859 | 1.588 | 0.854 | 1.270
  47 | Benfica                    | Portuguese Liga                   | 1.850 | 1.740 | 0.940 | 1.115
  48 | Celta Vigo                 | Spanish Primera División          | 1.839 | 1.765 | 0.960 | 1.349
  49 | FC Porto                   | Portuguese Liga                   | 1.835 | 1.492 | 0.813 | 1.071
  50 | Ajax Amsterdam             | Dutch Eredivisie                  | 1.812 | 1.748 | 0.965 | 0.994
  51 | Hertha Berlin              | German Bundesliga                 | 1.810 | 1.633 | 0.902 | 1.262
  52 | Villarreal                 | Spanish Primera División          | 1.806 | 1.512 | 0.837 | 1.290
  53 | Girona                     | Spanish Primera División          | 1.804 | 1.598 | 0.886 | 1.379
  54 | Lille                      | French Ligue 1                    | 1.803 | 1.478 | 0.820 | 1.151
  55 | Strasbourg                 | French Ligue 1                    | 1.787 | 1.529 | 0.855 | 1.154
  56 | Tampines Rovers            | Singaporean Premier League        | 1.776 | 1.638 | 0.922 | 1.182
  57 | Palmeiras                  | Brazilian Serie A                 | 1.775 | 1.361 | 0.767 | 1.000
  58 | Sampdoria                  | Italian Serie A                   | 1.767 | 1.573 | 0.890 | 1.187
  59 | Leicester City             | English Premier League            | 1.762 | 1.426 | 0.809 | 1.227
