rk,team,league,str,ofs,dfs,sos
201,Nueva Chicago,Nacional B de Argentina,1.530,1.333,0.871,1.131
202,Sunderland,English Premier League,1.529,1.193,0.780,1.426
203,Shanghai SIPG,Chinese Super League,1.525,1.300,0.852,1.039
204,Deportes Tolima,Fútbol Profesional Colombiano,1.524,1.209,0.793,1.172
205,Gamba Osaka,Japanese J League,1.524,1.292,0.848,1.149
206,Montpellier,French Ligue 1,1.521,1.449,0.953,1.292
207,PAOK Salonika,Greek Super League,1.513,1.149,0.759,1.059
208,Cerro Porteño,Primera División de Paraguay,1.511,1.371,0.908,1.138
209,Once Caldas,Fútbol Profesional Colombiano,1.511,1.227,0.812,1.169
210,Club Brugge,Belgian Jupiler League,1.510,1.279,0.847,1.113
211,Puebla,Mexican Liga MX,1.508,1.326,0.879,1.282
212,Sassuolo,Italian Serie A,1.507,1.328,0.882,1.261
213,Wanderers,Primera División de Uruguay,1.505,1.118,0.743,1.108
214,Stade Rennes,French Ligue 1,1.495,1.130,0.756,1.319
215,Toronto FC,Major League Soccer,1.493,1.283,0.860,1.062
216,Atletico Rafaela,Primera División de Argentina,1.491,1.225,0.822,1.336
217,FC Tokyo,Japanese J League,1.490,1.168,0.784,1.129
218,Defensores de Belgrano,Primera Division B de Argentina,1.486,1.006,0.677,1.114
219,Libertad,Primera División de Paraguay,1.485,1.211,0.815,1.089
220,Boston River,Primera División de Uruguay,1.485,1.175,0.791,1.099
221,Granada,Spanish Primera División,1.482,1.296,0.875,1.461
222,Deportes Iquique,Primera División de Chile,1.479,1.441,0.975,1.074
223,Panathinaikos,Greek Super League,1.476,1.141,0.773,1.047
224,Norwich City,English League Championship,1.476,1.469,0.995,1.093
225,Omiya Ardija,Japanese J League,1.475,1.165,0.789,1.149
226,Temperley,Primera División de Argentina,1.471,1.121,0.762,1.323
227,Villa Dálmine,Nacional B de Argentina,1.471,1.234,0.839,1.133
228,Patriotas F.C.,Fútbol Profesional Colombiano,1.470,1.159,0.788,1.143
229,AS Nancy Lorraine,French Ligue 1,1.469,1.045,0.711,1.304
230,Cádiz,Spanish Segunda Division,1.465,1.193,0.814,1.099
231,Lens,French Ligue 2,1.464,1.209,0.826,1.080
232,Unión Española,Primera División de Chile,1.462,1.400,0.958,1.082
233,Universidad Católica,Primera División de Chile,1.461,1.455,0.996,1.067
234,Bolívar,Liga Profesional Boliviana,1.460,1.338,0.916,0.982
235,LA Galaxy,Major League Soccer,1.458,1.294,0.887,1.071
236,Cagliari,Italian Serie A,1.457,1.429,0.981,1.289
237,AEK Athens,Greek Super League,1.456,1.198,0.822,1.020
238,Nantes,French Ligue 1,1.447,1.159,0.801,1.291
239,Envigado,Fútbol Profesional Colombiano,1.447,1.122,0.775,1.174
240,O'Higgins,Primera División de Chile,1.441,1.195,0.829,1.089
241,Guaraní,Primera División de Paraguay,1.438,1.227,0.853,1.091
242,Defensor Sporting,Primera División de Uruguay,1.437,1.247,0.867,1.100
243,Tenerife,Spanish Segunda Division,1.434,1.091,0.760,1.099
244,Krylia Sovetov,Russian Premier League,1.431,1.135,0.793,1.236
245,Huesca,Spanish Segunda Division,1.426,1.168,0.819,1.110
246,Gimnasia y Esgrima de Jujuy,Nacional B de Argentina,1.426,1.016,0.713,1.133
247,Bucaramanga,Fútbol Profesional Colombiano,1.418,1.121,0.790,1.167
248,Atlas,Mexican Liga MX,1.416,1.250,0.883,1.284
249,Avaí,Brasileirao B,1.412,1.133,0.802,1.089
250,Osasuna,Spanish Primera División,1.408,1.309,0.930,1.460
251,Leeds United,English League Championship,1.404,1.121,0.798,1.083
252,Maritimo,Portuguese Liga,1.403,1.043,0.743,1.139
253,Preston North End,English League Championship,1.401,1.272,0.908,1.088
254,Liverpool,Primera División de Uruguay,1.400,1.127,0.806,1.101
255,Emelec,Primera A de Ecuador,1.397,1.317,0.943,1.087
256,Anzhi Makhachkala,Russian Premier League,1.391,1.071,0.770,1.237
257,Cortuluá,Fútbol Profesional Colombiano,1.389,1.276,0.918,1.184
258,Boca Unidos,Nacional B de Argentina,1.388,1.142,0.822,1.133
259,Argentinos Juniors,Nacional B de Argentina,1.388,1.102,0.794,1.181
260,Rionegro FC,Fútbol Profesional Colombiano,1.385,1.238,0.894,1.188
261,Genoa,Italian Serie A,1.384,1.247,0.901,1.294
262,Nimes,French Ligue 2,1.383,1.169,0.845,1.076
263,Real Valladolid,Spanish Segunda Division,1.382,1.145,0.828,1.121
264,Jiangsu Shuntian,Chinese Super League,1.375,1.240,0.902,1.032
265,Racing Genk,Belgian Jupiler League,1.374,1.256,0.914,1.048
266,Vitoria Setubal,Portuguese Liga,1.374,1.069,0.777,1.140
267,Gazovik Orenburg,Russian Premier League,1.370,1.079,0.788,1.238
268,GD Chaves,Portuguese Liga,1.366,1.076,0.788,1.140
269,Huddersfield Town,English League Championship,1.365,1.136,0.833,1.097
270,FC Dallas,Major League Soccer,1.362,1.254,0.921,1.063
271,KV Oostende,Belgian Jupiler League,1.362,1.289,0.946,1.078
272,Colegiales,Primera Division B de Argentina,1.361,1.097,0.806,1.105
273,Sheffield Wednesday,English League Championship,1.359,1.119,0.823,1.093
274,Sagan Tosu,Japanese J League,1.358,1.085,0.799,1.154
275,Boavista,Portuguese Liga,1.357,1.064,0.784,1.161
276,Quilmes,Primera División de Argentina,1.356,1.270,0.937,1.326
277,Panionios,Greek Super League,1.354,1.035,0.764,1.004
278,Santamarina,Nacional B de Argentina,1.348,1.075,0.797,1.140
279,Standard Liege,Belgian Jupiler League,1.348,1.229,0.911,1.078
280,Derby County,English League Championship,1.340,1.068,0.797,1.099
281,Caen,French Ligue 1,1.338,1.227,0.917,1.301
282,Sol de América,Primera División de Paraguay,1.338,1.289,0.963,1.092
283,Almagro,Nacional B de Argentina,1.338,0.985,0.737,1.135
284,SC Amiens,French Ligue 2,1.337,1.149,0.859,1.070
285,Platense,Primera Division B de Argentina,1.337,1.056,0.790,1.106
286,Ctral. Córdoba SE,Nacional B de Argentina,1.336,1.105,0.827,1.134
287,Rio Ave,Portuguese Liga,1.333,1.153,0.865,1.141
288,Delhi Dynamos FC,Indian Super League,1.333,1.307,0.981,1.033
289,Troyes,French Ligue 2,1.333,1.220,0.915,1.066
290,New York Red Bulls,Major League Soccer,1.333,1.223,0.918,1.033
291,Veracruz,Mexican Liga MX,1.330,1.382,1.039,1.276
292,FC Utrecht,Dutch Eredivisie,1.330,1.236,0.929,1.038
293,Danubio F.C.,Primera División de Uruguay,1.329,1.272,0.957,1.103
294,Osmanlispor,Turkish Super Lig,1.329,1.118,0.842,1.116
295,Náutico,Brasileirao B,1.329,1.223,0.920,1.097
296,Brown de Adrogué,Nacional B de Argentina,1.325,1.182,0.892,1.135
297,Vitesse Arnhem,Dutch Eredivisie,1.320,1.222,0.925,1.042
298,Strasbourg,French Ligue 2,1.318,1.249,0.948,1.068
299,Ferro Carril Oeste,Nacional B de Argentina,1.316,1.180,0.897,1.151
300,Maccabi Tel-Aviv,Israeli Premier League,1.308,1.113,0.851,0.958
301,Alianza Petrolera,Fútbol Profesional Colombiano,1.307,1.155,0.883,1.170
302,Shanghai Greenland,Chinese Super League,1.306,1.169,0.895,1.019
303,Reading,English League Championship,1.306,1.220,0.934,1.092
304,Lorient,French Ligue 1,1.305,1.287,0.986,1.306
305,All Boys,Nacional B de Argentina,1.302,1.211,0.930,1.134
306,Seattle Sounders FC,Major League Soccer,1.302,1.157,0.889,1.086
307,Brest,French Ligue 2,1.295,1.127,0.870,1.070
308,Brentford,English League Championship,1.291,1.286,0.996,1.072
309,San Telmo,Primera Division B de Argentina,1.288,1.139,0.884,1.114
310,Juventud Unida (G),Nacional B de Argentina,1.286,1.213,0.943,1.137
311,Hannover 96,German 2. Bundesliga,1.280,1.264,0.987,0.997
312,Melbourne Victory,Australian A-League,1.277,1.167,0.913,1.020
313,Aston Villa,English League Championship,1.277,1.022,0.800,1.098
314,Ural Sverdlovsk Oblast,Russian Premier League,1.277,1.088,0.851,1.241
315,Zulte-Waregem,Belgian Jupiler League,1.276,1.233,0.967,1.081
316,SV Darmstadt 98,German Bundesliga,1.276,1.147,0.899,1.421
317,Vila Nova-GO,Brasileirao B,1.275,1.243,0.975,1.098
318,CRB,Brasileirao B,1.273,1.286,1.010,1.106
319,Cerro,Primera División de Uruguay,1.273,1.099,0.864,1.104
320,Almirante Brown,Primera Division B de Argentina,1.272,0.969,0.762,1.108
321,Mumbai City FC,Indian Super League,1.271,1.044,0.822,1.042
322,Crucero del Norte,Nacional B de Argentina,1.270,1.058,0.833,1.134
323,Ceará,Brasileirao B,1.270,1.148,0.904,1.095
324,Instituto de Córdoba,Nacional B de Argentina,1.270,1.185,0.933,1.140
325,América Mineiro,Futebol Brasileiro,1.268,1.025,0.809,1.351
326,Le Havre AC,French Ligue 2,1.268,1.003,0.792,1.077
327,El Nacional,Primera A de Ecuador,1.266,1.250,0.988,1.094
328,Brøndby,Danish SAS-Ligaen,1.265,1.214,0.960,0.967
329,Stade de Reims,French Ligue 2,1.261,1.043,0.827,1.072
330,Fénix,Primera Division B de Argentina,1.260,1.016,0.806,1.108
331,Metz,French Ligue 1,1.257,1.120,0.891,1.308
332,Barracas Central,Primera Division B de Argentina,1.254,1.039,0.829,1.108
333,Colorado Rapids,Major League Soccer,1.253,0.990,0.790,1.082
334,Heerenveen,Dutch Eredivisie,1.251,1.273,1.017,1.020
335,San Martin de Tucuman,Nacional B de Argentina,1.250,1.122,0.898,1.130
336,Trabzonspor,Turkish Super Lig,1.246,1.024,0.822,1.106
337,Wolverhampton Wanderers,English League Championship,1.245,1.112,0.893,1.091
338,Los Andes,Nacional B de Argentina,1.245,0.991,0.796,1.142
339,Flandria,Nacional B de Argentina,1.239,0.919,0.741,1.122
340,Bastia,French Ligue 1,1.237,1.054,0.851,1.320
341,Lugo,Spanish Segunda Division,1.237,1.170,0.946,1.104
342,Rayo Vallecano,Spanish Segunda Division,1.236,1.029,0.832,1.099
343,Sevilla Atletico,Spanish Segunda Division,1.235,1.087,0.880,1.101
344,Fénix,Primera División de Uruguay,1.235,1.137,0.920,1.115
345,Getafe,Spanish Segunda Division,1.234,1.057,0.856,1.101
346,Real Oviedo,Spanish Segunda Division,1.234,1.123,0.910,1.101
347,Luverdense,Brasileirao B,1.233,1.048,0.850,1.099
348,Universidad de Chile,Primera División de Chile,1.232,1.099,0.892,1.089
349,Racing (U),Primera División de Uruguay,1.231,1.313,1.067,1.105
350,Barnsley,English League Championship,1.230,1.196,0.972,1.061
351,Antalyaspor,Turkish Super Lig,1.230,1.087,0.883,1.106
352,Vegalta Sendai,Japanese J League,1.229,1.138,0.926,1.154
353,Deportivo Pasto,Fútbol Profesional Colombiano,1.228,1.050,0.856,1.176
354,Palestino,Primera División de Chile,1.224,1.204,0.983,1.117
355,Goiás EC,Brasileirao B,1.224,1.208,0.988,1.100
356,Sochaux,French Ligue 2,1.221,0.954,0.781,1.096
357,VfB Stuttgart,German 2. Bundesliga,1.221,1.201,0.984,0.996
358,DC United,Major League Soccer,1.218,1.225,1.006,1.068
359,Criciúma,Brasileirao B,1.218,1.101,0.903,1.100
360,Everton CD,Primera División de Chile,1.217,1.194,0.981,1.084
361,Reus Deportiu,Spanish Segunda Division,1.217,0.877,0.721,1.101
362,Young Boys,Swiss Super League,1.215,1.375,1.131,1.009
363,Real Zaragoza,Spanish Segunda Division,1.213,1.182,0.974,1.101
364,Aberdeen,Scottish Premiership,1.211,1.098,0.906,0.839
365,FC Union Berlin,German 2. Bundesliga,1.210,1.109,0.916,1.001
366,The Strongest,Liga Profesional Boliviana,1.207,1.166,0.966,0.952
367,Juventud,Primera División de Uruguay,1.201,0.944,0.786,1.106
368,TSV Eintracht Braunschweig,German 2. Bundesliga,1.199,1.122,0.936,0.986
369,La Equidad,Fútbol Profesional Colombiano,1.198,1.094,0.913,1.176
370,Crotone,Italian Serie A,1.197,1.053,0.879,1.294
371,Konyaspor,Turkish Super Lig,1.197,1.090,0.910,1.123
372,Karabükspor,Turkish Super Lig,1.193,1.116,0.935,1.107
373,Sud América,Primera División de Uruguay,1.192,1.130,0.948,1.106
374,KV Mechelen,Belgian Jupiler League,1.191,1.109,0.931,1.045
375,Beijing Guoan,Chinese Super League,1.189,0.979,0.824,1.022
376,Royal Charleroi SC,Belgian Jupiler League,1.188,0.992,0.835,1.084
377,Cardiff City,English League Championship,1.186,1.164,0.981,1.080
378,Rosenborg,Norwegian Tippeligaen,1.186,1.228,1.035,0.868
379,Clermont Foot,French Ligue 2,1.185,1.025,0.865,1.089
380,Atlético de Kolkata,Indian Super League,1.184,1.075,0.908,1.049
381,Elche,Spanish Segunda Division,1.181,1.157,0.980,1.098
382,Douglas Haig,Nacional B de Argentina,1.180,1.007,0.853,1.143
383,SK Sturm Graz,Austrian Bundesliga,1.177,1.120,0.952,0.955
384,Almeria,Spanish Segunda Division,1.175,1.013,0.862,1.102
385,Excursionistas,Primera Division B de Argentina,1.174,1.032,0.879,1.052
386,GFC Ajaccio,French Ligue 2,1.173,1.026,0.874,1.074
387,Dynamo Dresden,German 2. Bundesliga,1.172,1.191,1.016,1.010
388,UCAM Murcia,Spanish Segunda Division,1.172,1.089,0.929,1.118
389,FC Xanthi,Greek Super League,1.170,0.992,0.848,1.009
390,Jubilo Iwata,Japanese J League,1.166,1.107,0.949,1.156
391,Vancouver Whitecaps,Major League Soccer,1.165,1.180,1.012,1.100
392,Belenenses,Portuguese Liga,1.163,0.958,0.824,1.145
393,Bourg-Peronnas,French Ligue 2,1.163,1.197,1.029,1.072
394,AZ Alkmaar,Dutch Eredivisie,1.160,1.247,1.075,1.050
395,FC Arsenal Tula,Russian Premier League,1.157,0.962,0.831,1.244
396,Montreal Impact,Major League Soccer,1.157,1.232,1.065,1.091
397,Atlético Huila,Fútbol Profesional Colombiano,1.156,1.038,0.898,1.177
