Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,,Wed,2020-09-23,19:00 (22:00),Portland,1.0,1–0,2.0,Seattle,,Providence Park,Allen Chapman,Match Report,
Regular Season,,Wed,2020-09-23,19:30 (22:30),Los Angeles FC,2.8,6–0,0.6,Vancouver,,Banc of California Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Sat,2020-09-26,14:30 (15:30),Nashville,1.1,1–1,1.0,Houston,,Nissan Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Sat,2020-09-26,19:00,NYCFC,1.9,4–0,0.8,FC Cincinnati,,Red Bull Arena,Armando Villarreal,Match Report,
Regular Season,,Sun,2020-09-27,19:00,D.C. United,0.4,0–2,1.7,New England,,Audi Field,Alex Chilowicz,Match Report,
Regular Season,,Sun,2020-09-27,19:00,NY Red Bulls,2.3,4–1,0.6,Montreal,,Red Bull Arena,Rosendo Mendoza,Match Report,
Regular Season,,Sun,2020-09-27,18:30 (19:30),Chicago,2.0,2–0,1.0,Atlanta,,Soldier Field,Kevin Stott,Match Report,
Regular Season,,Sun,2020-09-27,19:30,Philadelphia,1.6,3–0,1.7,Miami,,Subaru Park,Elton Garcia,Match Report,
Regular Season,,Sun,2020-09-27,19:30,Toronto FC,0.8,3–1,0.9,Columbus,,Pratt & Whitney Stadium at Rentschler Fi...,Tim Ford,Match Report,
Regular Season,,Sun,2020-09-27,19:00 (20:00),Minnesota,1.2,0–0,1.2,Real Salt Lake,,Allianz Field,Drew Fischer,Match Report,
Regular Season,,Sun,2020-09-27,19:30 (20:30),FC Dallas,0.8,0–0,0.9,Orlando City,3113,Toyota Stadium,Ramy Touchan,Match Report,
Regular Season,,Sun,2020-09-27,19:00 (22:00),Vancouver,0.9,0–1,0.5,Portland,,Providence Park,Ted Unkel,Match Report,
Regular Season,,Sun,2020-09-27,19:30 (22:30),Los Angeles FC,1.4,1–2,1.8,San Jose,,Banc of California Stadium,Ismail Elfath,Match Report,
Regular Season,,Sun,2020-09-27,19:30 (22:30),LA Galaxy,1.5,1–3,2.2,Seattle,,Dignity Health Sports Park,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-10-03,16:30,Orlando City,2.4,3–1,1.1,NY Red Bulls,,Exploria Stadium,Fotis Bazakos,Match Report,
Regular Season,,Sat,2020-10-03,19:00,D.C. United,0.2,0–4,1.7,Atlanta,,Audi Field,Joe Dickerson,Match Report,
Regular Season,,Sat,2020-10-03,19:30,Toronto FC,1.7,2–1,0.5,Philadelphia,,Pratt & Whitney Stadium at Rentschler Fi...,Victor Rivas,Match Report,
Regular Season,,Sat,2020-10-03,19:30,New England,1.7,0–0,0.2,Nashville,,Gillette Stadium,Dave Gantar,Match Report,
Regular Season,,Sat,2020-10-03,19:30,Montreal,1.0,2–2,0.9,Chicago,,Red Bull Arena,Guido Gonzalez Jr.,Match Report,
Regular Season,,Sat,2020-10-03,19:00 (20:00),Houston,1.0,1–2,1.3,Sporting KC,,BBVA Compass Stadium,Kevin Stott,Match Report,
Regular Season,,Sat,2020-10-03,19:00 (20:00),Minnesota,2.4,2–0,0.9,FC Cincinnati,,Allianz Field,Marcos de Oliveira,Match Report,
Regular Season,,Sat,2020-10-03,20:00,Miami,1.2,2–3,1.1,NYCFC,,Lockhart Stadium,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-10-03,19:30 (20:30),FC Dallas,1.9,2–2,1.5,Columbus,3572,Toyota Stadium,Ted Unkel,Match Report,
Regular Season,,Sat,2020-10-03,19:00 (22:00),Seattle,3.1,3–1,1.1,Vancouver,,CenturyLink Field,Tim Ford,Match Report,
Regular Season,,Sat,2020-10-03,19:30 (22:30),San Jose,2.1,2–1,1.2,LA Galaxy,,Avaya Stadium,Robert Sibiga,Match Report,
Regular Season,,Sun,2020-10-04,19:30 (21:30),Real Salt Lake,1.0,1–3,1.8,Los Angeles FC,3062,Rio Tinto Stadium,Nima Saghafi,Match Report,
Regular Season,,Tue,2020-10-06,19:30 (20:30),Nashville,1.2,0–0,1.3,Minnesota,3478,Nissan Stadium,Joe Dickerson,Match Report,
Regular Season,,Wed,2020-10-07,19:00,NY Red Bulls,2.1,1–2,1.0,Miami,,Red Bull Arena,Armando Villarreal,Match Report,
Regular Season,,Wed,2020-10-07,19:00,Atlanta,0.6,0–0,1.0,Orlando City,,Mercedes-Benz Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Wed,2020-10-07,19:30,Philadelphia,1.1,3–0,0.5,FC Cincinnati,,Subaru Park,Jon Freemon,Match Report,
Regular Season,,Wed,2020-10-07,19:30,New England,1.9,0–1,1.5,Toronto FC,,Gillette Stadium,Nima Saghafi,Match Report,
Regular Season,,Wed,2020-10-07,19:30,Columbus,1.6,1–2,1.9,Montreal,,MAPFRE Stadium,Victor Rivas,Match Report,
Regular Season,,Wed,2020-10-07,19:00 (20:00),Houston,2.0,2–0,1.7,FC Dallas,,BBVA Compass Stadium,Ismail Elfath,Match Report,
Regular Season,,Wed,2020-10-07,20:00,NYCFC,4.7,4–1,1.4,D.C. United,,Red Bull Arena,Drew Fischer,Match Report,
Regular Season,,Wed,2020-10-07,19:30 (20:30),Sporting KC,1.0,1–0,1.4,Chicago,,Children's Mercy Park,Marcos de Oliveira,Match Report,
Regular Season,,Wed,2020-10-07,19:00 (22:00),Seattle,1.8,2–1,0.3,Real Salt Lake,,CenturyLink Field,Dave Gantar,Match Report,
Regular Season,,Wed,2020-10-07,19:30 (22:30),San Jose,2.9,3–0,0.5,Vancouver,,Avaya Stadium,Allen Chapman,Match Report,
Regular Season,,Wed,2020-10-07,19:30 (22:30),LA Galaxy,1.7,3–6,3.0,Portland,,Dignity Health Sports Park,Ramy Touchan,Match Report,
Regular Season,,Sat,2020-10-10,17:00,Miami,1.6,1–0,0.7,Houston,,Lockhart Stadium,Drew Fischer,Match Report,
Regular Season,,Sat,2020-10-10,18:00,Atlanta,0.6,0–1,0.2,NY Red Bulls,,Mercedes-Benz Stadium,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-10-10,19:00 (22:00),Vancouver,0.7,2–1,1.2,Real Salt Lake,,Providence Park,Silviu Petrescu,Match Report,
Regular Season,,Sun,2020-10-11,16:30,NYCFC,1.7,1–2,1.8,New England,,Red Bull Arena,Armando Villarreal,Match Report,
Regular Season,,Sun,2020-10-11,16:00 (19:00),Los Angeles FC,0.9,3–1,2.3,Seattle,,Banc of California Stadium,Ramy Touchan,Match Report,
Regular Season,,Sun,2020-10-11,18:30 (19:30),Chicago,0.9,2–1,1.0,D.C. United,,Soldier Field,Allen Chapman,Match Report,
Regular Season,,Sun,2020-10-11,18:30 (19:30),Sporting KC,2.4,2–1,0.5,Nashville,,Children's Mercy Park,Fotis Bazakos,Match Report,
Regular Season,,Sun,2020-10-11,19:30,Philadelphia,1.6,2–1,0.7,Montreal,,Subaru Park,Ted Unkel,Match Report,
Regular Season,,Sun,2020-10-11,19:30,FC Cincinnati,0.6,0–1,1.0,Toronto FC,,Nippert Stadium,Robert Sibiga,Match Report,
Regular Season,,Sun,2020-10-11,19:00 (22:00),Portland,2.6,3–0,1.3,San Jose,,Providence Park,Guido Gonzalez Jr.,Match Report,
Regular Season,,Wed,2020-10-14,19:30,FC Cincinnati,1.4,2–1,1.0,Columbus,,Nippert Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Wed,2020-10-14,19:30,Orlando City,1.0,1–1,1.6,NYCFC,,Exploria Stadium,Silviu Petrescu,Match Report,
Regular Season,,Wed,2020-10-14,19:30,Montreal,1.6,2–3,3.2,New England,,Red Bull Arena,Joe Dickerson,Match Report,
Regular Season,,Wed,2020-10-14,19:30,Toronto FC,1.9,1–1,0.6,NY Red Bulls,,Pratt & Whitney Stadium at Rentschler Fi...,Guido Gonzalez Jr.,Match Report,
Regular Season,,Wed,2020-10-14,19:00 (20:00),Houston,1.7,1–3,1.5,Nashville,1328,BBVA Compass Stadium,Nima Saghafi,Match Report,
Regular Season,,Wed,2020-10-14,20:00,D.C. United,1.9,2–2,1.0,Philadelphia,,Audi Field,Marcos de Oliveira,Match Report,
Regular Season,,Wed,2020-10-14,20:00,Miami,1.7,1–1,0.5,Atlanta,,Lockhart Stadium,Ismail Elfath,Match Report,
Regular Season,,Wed,2020-10-14,19:30 (20:30),FC Dallas,2.1,1–0,1.0,Sporting KC,2898,Toyota Stadium,Armando Villarreal,Match Report,
Regular Season,,Wed,2020-10-14,19:30 (21:30),Real Salt Lake,1.4,2–1,1.0,Portland,,Rio Tinto Stadium,Robert Sibiga,Match Report,
Regular Season,,Wed,2020-10-14,19:00 (22:00),Vancouver,1.3,2–1,1.3,Los Angeles FC,,Providence Park,Tori Penso,Match Report,
Regular Season,,Wed,2020-10-14,19:30 (22:30),LA Galaxy,0.5,0–4,2.4,San Jose,,Dignity Health Sports Park,Alex Chilowicz,Match Report,
Regular Season,,Sat,2020-10-17,14:30 (15:30),Chicago,1.5,2–2,1.4,Sporting KC,,Soldier Field,Dave Gantar,Match Report,
Regular Season,,Sat,2020-10-17,19:00,Montreal,2.1,2–1,0.7,Miami,,Red Bull Arena,Tim Ford,Match Report,
Regular Season,,Sun,2020-10-18,18:00,Columbus,2.9,3–1,1.4,NYCFC,,MAPFRE Stadium,Alex Chilowicz,Match Report,
Regular Season,,Sun,2020-10-18,19:00,NY Red Bulls,0.8,1–1,1.9,Orlando City,,Red Bull Arena,Drew Fischer,Match Report,
Regular Season,,Sun,2020-10-18,19:30,FC Cincinnati,1.0,1–2,2.4,D.C. United,,Nippert Stadium,Rosendo Mendoza,Match Report,
Regular Season,,Sun,2020-10-18,19:30,Toronto FC,0.7,1–0,0.3,Atlanta,,Pratt & Whitney Stadium at Rentschler Fi...,Fotis Bazakos,Match Report,
Regular Season,,Sun,2020-10-18,19:00 (20:00),Minnesota,1.0,2–2,2.1,Houston,,Allianz Field,Elton Garcia,Match Report,
Regular Season,,Sun,2020-10-18,19:00 (22:00),Portland,1.6,1–1,1.4,Los Angeles FC,,Providence Park,Allen Chapman,Match Report,
Regular Season,,Sun,2020-10-18,19:30 (22:30),LA Galaxy,2.0,1–0,0.4,Vancouver,,Dignity Health Sports Park,Victor Rivas,Match Report,
Regular Season,,Sun,2020-10-18,19:30 (22:30),San Jose,0.5,0–0,0.3,Seattle,,Avaya Stadium,Kevin Stott,Match Report,
Regular Season,,Mon,2020-10-19,19:30,New England,1.1,1–2,0.9,Philadelphia,,Gillette Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Tue,2020-10-20,19:30 (20:30),Nashville,1.4,3–0,1.2,FC Dallas,3502,Nissan Stadium,Silviu Petrescu,Match Report,
Regular Season,,Thu,2020-10-22,19:30 (22:30),Seattle,1.4,1–1,0.9,Portland,,CenturyLink Field,Ismail Elfath,Match Report,
Regular Season,,Fri,2020-10-23,20:52 (21:52),Nashville,0.5,1–1,0.6,New England,,Nissan Stadium,Robert Sibiga,Match Report,
Regular Season,,Sat,2020-10-24,15:30,Miami,1.7,2–1,1.3,Orlando City,,Lockhart Stadium,Allen Chapman,Match Report,
Regular Season,,Sat,2020-10-24,16:00,Atlanta,0.4,1–2,0.5,D.C. United,6130,Mercedes-Benz Stadium,Armando Villarreal,Match Report,
Regular Season,,Sat,2020-10-24,18:30 (19:30),Chicago,2.5,2–2,1.3,NY Red Bulls,,Soldier Field,Ismir Pekmic,Match Report,
Regular Season,,Sat,2020-10-24,19:30,FC Cincinnati,1.0,0–1,1.6,Minnesota,,Nippert Stadium,Malik Badawi,Match Report,
Regular Season,,Sat,2020-10-24,19:30,Philadelphia,3.3,5–0,0.2,Toronto FC,,Subaru Park,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-10-24,19:30,NYCFC,2.0,3–1,0.9,Montreal,,Red Bull Arena,Ramy Touchan,Match Report,
Regular Season,,Sat,2020-10-24,20:00 (21:00),Houston,2.2,1–1,1.0,Columbus,2237,BBVA Compass Stadium,Joe Dickerson,Match Report,
Regular Season,,Sat,2020-10-24,19:30 (21:30),Real Salt Lake,1.9,0–0,0.7,FC Dallas,4078,Rio Tinto Stadium,Alex Chilowicz,Match Report,
Regular Season,,Sat,2020-10-24,20:30 (21:30),Sporting KC,2.5,4–0,0.3,Colorado,,Children's Mercy Park,Drew Fischer,Match Report,
Regular Season,,Sat,2020-10-24,19:00 (22:00),Vancouver,1.4,2–1,0.7,San Jose,,Providence Park,Marcos de Oliveira,Match Report,
Regular Season,,Sun,2020-10-25,12:30 (15:30),Los Angeles FC,2.8,2–0,0.2,LA Galaxy,,Banc of California Stadium,Kevin Stott,Match Report,
Regular Season,,Tue,2020-10-27,19:00,Montreal,0.5,0–1,1.3,Nashville,,Red Bull Arena,Ismail Elfath,Match Report,
Regular Season,,Tue,2020-10-27,19:00 (22:00),Vancouver,0.2,0–2,1.0,Seattle,,Providence Park,Fotis Bazakos,Match Report,
Regular Season,,Wed,2020-10-28,19:00,NY Red Bulls,1.1,1–0,1.0,New England,,Red Bull Arena,Alan Kelly,Match Report,
Regular Season,,Wed,2020-10-28,19:30,Philadelphia,1.9,2–1,1.3,Chicago,,Subaru Park,Guido Gonzalez Jr.,Match Report,
Regular Season,,Wed,2020-10-28,19:30,Orlando City,1.5,4–1,0.8,Atlanta,,Exploria Stadium,Alex Chilowicz,Match Report,
Regular Season,,Wed,2020-10-28,19:30,Toronto FC,0.3,0–1,2.0,NYCFC,,Pratt & Whitney Stadium at Rentschler Fi...,Nima Saghafi,Match Report,
Regular Season,,Wed,2020-10-28,19:30,FC Cincinnati,2.2,0–1,1.1,Sporting KC,,Nippert Stadium,Dave Gantar,Match Report,
Regular Season,,Wed,2020-10-28,19:00 (20:00),Minnesota,1.8,2–1,1.3,Colorado,,Allianz Field,Tori Penso,Match Report,
Regular Season,,Wed,2020-10-28,20:00,D.C. United,0.5,1–0,0.4,Columbus,,Audi Field,Silviu Petrescu,Match Report,
Regular Season,,Wed,2020-10-28,19:30 (20:30),FC Dallas,2.2,2–1,1.2,Miami,,Toyota Stadium,Victor Rivas,Match Report,
Regular Season,,Wed,2020-10-28,19:00 (22:00),Portland,1.8,5–2,1.7,LA Galaxy,,Providence Park,Drew Fischer,Match Report,
Regular Season,,Wed,2020-10-28,19:30 (22:30),San Jose,2.5,2–0,0.6,Real Salt Lake,,Avaya Stadium,Elton Garcia,Match Report,
Regular Season,,Wed,2020-10-28,19:30 (22:30),Los Angeles FC,3.1,2–1,2.1,Houston,,Banc of California Stadium,Ramy Touchan,Match Report,
Regular Season,,Sat,2020-10-31,14:30 (15:30),FC Dallas,2.8,3–0,1.1,Houston,,Toyota Stadium,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-10-31,19:30 (20:30),Nashville,1.2,1–1,1.0,Chicago,3987,Nissan Stadium,Malik Badawi,Match Report,
Regular Season,,Sun,2020-11-01,15:30,Columbus,1.3,2–1,3.2,Philadelphia,,MAPFRE Stadium,Allen Chapman,Match Report,
Regular Season,,Sun,2020-11-01,19:00,NYCFC,2.0,5–2,0.8,NY Red Bulls,,Red Bull Arena,Joe Dickerson,Match Report,
Regular Season,,Sun,2020-11-01,19:00,Atlanta,1.8,2–0,0.7,FC Cincinnati,6149,Mercedes-Benz Stadium,Alan Kelly,Match Report,
Regular Season,,Sun,2020-11-01,18:30 (19:30),Sporting KC,,,,Minnesota,,Children's Mercy Park,,Match Report,Match Cancelled
Regular Season,,Sun,2020-11-01,19:30,Toronto FC,1.4,2–1,0.8,Miami,1394,Pratt & Whitney Stadium at Rentschler Fi...,Rosendo Mendoza,Match Report,
Regular Season,,Sun,2020-11-01,19:30,Montreal,0.6,0–1,1.4,Orlando City,,Red Bull Arena,Robert Sibiga,Match Report,
Regular Season,,Sun,2020-11-01,19:30,New England,3.1,4–3,1.0,D.C. United,,Gillette Stadium,Dave Gantar,Match Report,
Regular Season,,Sun,2020-11-01,19:00 (21:00),Colorado,1.5,3–1,0.8,Seattle,,Dick's Sporting Goods Park,Ismir Pekmic,Match Report,
Regular Season,,Sun,2020-11-01,19:00 (22:00),Portland,0.6,1–0,0.8,Vancouver,,Providence Park,Armando Villarreal,Match Report,
Regular Season,,Sun,2020-11-01,19:30 (22:30),LA Galaxy,0.6,2–1,0.8,Real Salt Lake,,Dignity Health Sports Park,Jon Freemon,Match Report,
Regular Season,,Wed,2020-11-04,19:30,Orlando City,2.0,2–1,0.7,Columbus,,Exploria Stadium,Ramy Touchan,Match Report,
Regular Season,,Wed,2020-11-04,19:00 (20:00),Minnesota,1.7,2–2,3.6,Chicago,,Allianz Field,Victor Rivas,Match Report,
Regular Season,,Wed,2020-11-04,19:30 (20:30),Nashville,0.8,0–1,1.3,FC Dallas,,Nissan Stadium,Marcos de Oliveira,Match Report,
Regular Season,,Wed,2020-11-04,19:00 (22:00),Portland,0.8,0–1,0.7,Colorado,,Providence Park,Joe Dickerson,Match Report,
Regular Season,,Wed,2020-11-04,20:00 (23:00),LA Galaxy,1.3,1–1,1.6,Seattle,,Dignity Health Sports Park,Silviu Petrescu,Match Report,
Regular Season,,Wed,2020-11-04,20:00 (23:00),San Jose,1.1,3–2,2.4,Los Angeles FC,,Avaya Stadium,Tim Ford,Match Report,
Regular Season,,Sun,2020-11-08,14:30 (15:30),Chicago,2.8,3–4,2.9,NYCFC,,Soldier Field,Fotis Bazakos,Match Report,
Regular Season,,Sun,2020-11-08,15:30,Philadelphia,2.9,2–0,0.5,New England,,Subaru Park,Drew Fischer,Match Report,
Regular Season,,Sun,2020-11-08,15:30,D.C. United,1.4,2–3,2.4,Montreal,,Audi Field,Rubiel Vazquez,Match Report,
Regular Season,,Sun,2020-11-08,15:30,Orlando City,0.9,2–3,0.8,Nashville,,Exploria Stadium,Dave Gantar,Match Report,
Regular Season,,Sun,2020-11-08,15:30,Miami,0.8,2–1,0.5,FC Cincinnati,,Lockhart Stadium,Guido Gonzalez Jr.,Match Report,
Regular Season,,Sun,2020-11-08,15:30,Columbus,1.7,2–1,1.5,Atlanta,,MAPFRE Stadium,Ismail Elfath,Match Report,
Regular Season,,Sun,2020-11-08,15:30,NY Red Bulls,1.7,2–1,1.8,Toronto FC,,Red Bull Arena,Ted Unkel,Match Report,
Regular Season,,Sun,2020-11-08,15:30 (18:30),Los Angeles FC,1.3,1–1,0.9,Portland,,Banc of California Stadium,Alan Kelly,Match Report,
Regular Season,,Sun,2020-11-08,15:30 (18:30),Seattle,0.9,4–1,0.6,San Jose,,CenturyLink Field,Jair Marrufo,Match Report,
Regular Season,,Sun,2020-11-08,15:30 (18:30),Vancouver,2.1,3–0,0.6,LA Galaxy,,Providence Park,Joe Dickerson,Match Report,
Regular Season,,Sun,2020-11-08,16:30 (18:30),Real Salt Lake,0.4,0–2,1.1,Sporting KC,2770,Rio Tinto Stadium,Kevin Stott,Match Report,
Regular Season,,Sun,2020-11-08,17:30 (18:30),Minnesota,2.0,3–0,1.7,FC Dallas,,Allianz Field,Robert Sibiga,Match Report,
Regular Season,,Sun,2020-11-08,17:30 (18:30),Houston,1.4,1–2,1.1,Colorado,2327,BBVA Compass Stadium,Alex Chilowicz,Match Report,
Play-In Round,,Fri,2020-11-20,18:30,New England,1.9,2–1,0.3,Montreal,,Gillette Stadium,Jair Marrufo,Match Report,
Play-In Round,,Fri,2020-11-20,20:00 (21:00),Nashville,1.3,3–0,0.6,Miami,3240,Nissan Stadium,Ismail Elfath,Match Report,
Round One,,Sat,2020-11-21,12:00,Orlando City,2.7,1–1,2.5,NYCFC,,Exploria Stadium,Allen Chapman,Match Report,Orlando City won on penalty kicks following extra time
Round One,,Sat,2020-11-21,15:00,Columbus,1.9,3–2,1.4,NY Red Bulls,,MAPFRE Stadium,Alex Chilowicz,Match Report,
Round One,,Sun,2020-11-22,15:00 (16:00),Sporting KC,2.8,3–3,3.6,San Jose,,Children's Mercy Park,Nima Saghafi,Match Report,Sporting KC won on penalty kicks following extra time
Round One,,Sun,2020-11-22,18:30 (19:30),Minnesota,2.5,3–0,2.6,Colorado,,Allianz Field,Ted Unkel,Match Report,
Round One,,Sun,2020-11-22,19:00 (22:00),Portland,2.6,1–1,2.3,FC Dallas,,Providence Park,Armando Villarreal,Match Report,FC Dallas won on penalty kicks following extra time
Round One,,Tue,2020-11-24,18:00,Toronto FC,1.3,0–1,3.1,Nashville,,Pratt & Whitney Stadium at Rentschler Fi...,Robert Sibiga,Match Report,Required Extra Time
Round One,,Tue,2020-11-24,20:00,Philadelphia,0.9,0–2,0.9,New England,,Subaru Park,Joe Dickerson,Match Report,
Round One,,Tue,2020-11-24,19:30 (22:30),Seattle,1.5,3–1,1.8,Los Angeles FC,,CenturyLink Field,Kevin Stott,Match Report,
Conference Semifinals,,Sun,2020-11-29,15:00,Orlando City,1.7,1–3,2.1,New England,,Exploria Stadium,Alex Chilowicz,Match Report,
Conference Semifinals,,Sun,2020-11-29,20:00,Columbus,1.9,2–0,0.9,Nashville,,MAPFRE Stadium,Armando Villarreal,Match Report,Required Extra Time
Conference Semifinals,,Tue,2020-12-01,18:30 (21:30),Seattle,1.1,1–0,0.7,FC Dallas,,CenturyLink Field,Robert Sibiga,Match Report,
Conference Semifinals,,Thu,2020-12-03,19:30 (20:30),Sporting KC,1.6,0–3,1.4,Minnesota,,Children's Mercy Park,Drew Fischer,Match Report,
Conference Finals,,Sun,2020-12-06,15:00,Columbus,1.4,1–0,1.0,New England,,MAPFRE Stadium,Armando Villarreal,Match Report,
Conference Finals,,Mon,2020-12-07,18:30 (21:30),Seattle,1.8,3–2,0.6,Minnesota,,CenturyLink Field,Ismail Elfath,Match Report,
MLS Cup 2020,,Sat,2020-12-12,20:30,Columbus,1.6,3–0,0.5,Seattle,1500,MAPFRE Stadium,Jair Marrufo,Match Report,
