Season,Round,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,,Sun,2021-05-30,19:00,Philadelphia,2.7,3–0,1.2,Portland Timbers,6635,Subaru Park,Robert Sibiga,Match Report,
2021,,,Sun,2021-05-30,18:30,Seattle,0.8,0–0,0.7,Austin FC,12895,CenturyLink Field,Rosendo Mendoza,Match Report,
2021,,,Sat,2021-06-12,14:00,Sporting KC,3.1,1–1,1.7,Austin FC,18519,Children's Mercy Park,Robert Sibiga,Match Report,
2021,,,Fri,2021-06-18,20:00,NY Red Bulls,,,,Nashville,,Red Bull Arena,,Head-to-Head,
2021,,,Fri,2021-06-18,20:00,Real Salt Lake,,,,Vancouver,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sat,2021-06-19,19:30,Columbus Crew,,,,Chicago Fire,,Ohio Stadium,,Head-to-Head,
2021,,,Sat,2021-06-19,19:30,Toronto FC,,,,Orlando City,,,,Head-to-Head,
2021,,,Sat,2021-06-19,19:30,FC Cincinnati,,,,Colorado Rapids,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-06-19,19:30,NYCFC,,,,New England,,Red Bull Arena,,Head-to-Head,
2021,,,Sat,2021-06-19,20:00,D.C. United,,,,Inter Miami,,Audi Field,,Head-to-Head,
2021,,,Sat,2021-06-19,19:30,FC Dallas,,,,Minnesota Utd,,Toyota Stadium,,Head-to-Head,
2021,,,Sat,2021-06-19,18:00,LA Galaxy,,,,Seattle,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sat,2021-06-19,20:00,Austin FC,,,,San Jose,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-06-19,19:30,Portland Timbers,,,,Sporting KC,,Providence Park,,Head-to-Head,
2021,,,Sat,2021-06-19,20:00,Los Angeles FC,,,,Houston Dynamo,,Banc of California Stadium,,Head-to-Head,
2021,,,Sun,2021-06-20,14:00,Atlanta Utd,,,,Philadelphia,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Tue,2021-06-22,19:30,Orlando City,,,,San Jose,,Exploria Stadium,,Head-to-Head,
2021,,,Wed,2021-06-23,19:00,New England,,,,NY Red Bulls,,Gillette Stadium,,Head-to-Head,
2021,,,Wed,2021-06-23,19:30,Philadelphia,,,,Columbus Crew,,Subaru Park,,Head-to-Head,
2021,,,Wed,2021-06-23,19:30,NYCFC,,,,Atlanta Utd,,Red Bull Arena,,Head-to-Head,
2021,,,Wed,2021-06-23,19:00,Minnesota Utd,,,,Austin FC,,Allianz Field,,Head-to-Head,
2021,,,Wed,2021-06-23,19:00,Chicago Fire,,,,FC Cincinnati,,Soldier Field,,Head-to-Head,
2021,,,Wed,2021-06-23,20:00,CF Montréal,,,,D.C. United,,,,Head-to-Head,
2021,,,Wed,2021-06-23,19:30,Houston Dynamo,,,,Portland Timbers,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Wed,2021-06-23,19:30,Sporting KC,,,,Colorado Rapids,,Children's Mercy Park,,Head-to-Head,
2021,,,Wed,2021-06-23,19:30,Nashville,,,,Toronto FC,,Nissan Stadium,,Head-to-Head,
2021,,,Wed,2021-06-23,19:00,Seattle,,,,Real Salt Lake,,CenturyLink Field,,Head-to-Head,
2021,,,Wed,2021-06-23,19:30,Los Angeles FC,,,,FC Dallas,,Banc of California Stadium,,Head-to-Head,
2021,,,Wed,2021-06-23,20:30,Vancouver,,,,LA Galaxy,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Fri,2021-06-25,20:00,Inter Miami,,,,Orlando City,,Lockhart Stadium,,Head-to-Head,
