367446,368,274488,Everton,363,EF0107,Chelsea
367447,318,000000,Swansea City,364,D00027,Liverpool
367448,336,E03A3E,Stoke City,382,5CBFEB,Manchester City
367449,362,7A003C,Aston Villa,361,5CBFEB,Newcastle United
367450,367,000033,Tottenham Hotspur,381,00a94f,Norwich City
367451,370,1a1a1a,Fulham,383,C60000,West Bromwich Albion
367452,376,ED1A3B,Southampton,371,60223B,West Ham United
367453,363,034694,Chelsea,362,7A003C,Aston Villa
367454,347,000099,Cardiff City,368,274488,Everton
367455,361,5CBFEB,Newcastle United,370,1a1a1a,Fulham
367456,382,5CBFEB,Manchester City,306,F5A12D,Hull City
367457,364,D00027,Liverpool,360,1a1a1a,Manchester United
367458,381,00a94f,Norwich City,376,ED1A3B,Southampton
367459,371,60223B,West Ham United,336,E03A3E,Stoke City
367460,383,091453,West Bromwich Albion,318,000000,Swansea City
367461,359,EF0107,Arsenal,367,000033,Tottenham Hotspur
367462,370,1a1a1a,Fulham,359,EF0107,Arsenal
367463,360,DA020E,Manchester United,363,034694,Chelsea
367464,362,7A003C,Aston Villa,364,D00027,Liverpool
367465,347,000099,Cardiff City,382,5CBFEB,Manchester City
367466,306,F5A12D,Hull City,381,00a94f,Norwich City
367467,376,ED1A3B,Southampton,366,41a317,Sunderland
367468,367,000033,Tottenham Hotspur,318,00ff33,Swansea City
367469,368,274488,Everton,383,091453,West Bromwich Albion
367470,361,5CBFEB,Newcastle United,371,60223B,West Ham United
367471,359,EF0107,Arsenal,362,7A003C,Aston Villa
367472,371,60223B,West Ham United,347,000099,Cardiff City
367473,381,00a94f,Norwich City,368,274488,Everton
367474,366,EB172B,Sunderland,370,1a1a1a,Fulham
367475,363,034694,Chelsea,306,F5A12D,Hull City
367476,318,000000,Swansea City,360,DA020E,Manchester United
367477,382,5CBFEB,Manchester City,361,000099,Newcastle United
367478,383,091453,West Bromwich Albion,376,ED1A3B,Southampton
367479,364,D00027,Liverpool,336,000000,Stoke City
369163,370,1a1a1a,Fulham,384,C4122E,Crystal Palace
369164,384,C4122E,Crystal Palace,364,1a1a1a,Liverpool
369165,384,C4122E,Crystal Palace,382,5CBFEB,Manchester City
369166,371,60223B,West Ham United,384,C4122E,Crystal Palace
369167,384,C4122E,Crystal Palace,362,7A003C,Aston Villa
369168,347,000099,Cardiff City,384,C4122E,Crystal Palace
369169,384,C4122E,Crystal Palace,363,034694,Chelsea
369170,361,5CBFEB,Newcastle United,384,C4122E,Crystal Palace
369171,366,EB172B,Sunderland,384,034694,Crystal Palace
369172,384,C4122E,Crystal Palace,376,00a94f,Southampton
369173,318,000000,Swansea City,384,C4122E,Crystal Palace
369174,384,C4122E,Crystal Palace,360,1a1a1a,Manchester United
369175,368,274488,Everton,384,C4122E,Crystal Palace
369176,384,C4122E,Crystal Palace,383,091453,West Bromwich Albion
369177,359,EF0107,Arsenal,384,034694,Crystal Palace
369178,384,C4122E,Crystal Palace,306,F5A12D,Hull City
369179,384,C4122E,Crystal Palace,336,000000,Stoke City
369180,367,000033,Tottenham Hotspur,384,C4122E,Crystal Palace
