team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
Germany,2.1,Norway,0.6,0.859,0.141,0.736,0.086,0.178,0.084,0.016,0.039,0.039
Germany,1.9,Sweden,0.8,0.773,0.227,0.634,0.147,0.218,0.089,0.030,0.050,0.050
Germany,3.5,Switzerland,0.6,0.954,0.046,0.895,0.030,0.074,0.048,0.004,0.011,0.011
Germany,1.1,USA,1.1,0.486,0.514,0.341,0.366,0.293,0.068,0.072,0.077,0.077
Japan,1.7,Australia,0.9,0.722,0.278,0.577,0.185,0.238,0.089,0.037,0.056,0.056
Japan,0.9,Brazil,0.7,0.564,0.436,0.374,0.266,0.360,0.079,0.060,0.110,0.110
Japan,2.0,Cameroon,0.2,0.919,0.081,0.801,0.036,0.163,0.080,0.007,0.038,0.038
Japan,0.8,Canada,0.7,0.530,0.470,0.348,0.296,0.356,0.074,0.065,0.108,0.108
Japan,1.3,China PR,0.4,0.785,0.215,0.601,0.106,0.293,0.100,0.024,0.085,0.085
Japan,1.6,Colombia,0.4,0.848,0.152,0.695,0.077,0.227,0.094,0.016,0.059,0.059
Japan,1.2,England,0.8,0.611,0.389,0.442,0.251,0.307,0.084,0.054,0.085,0.085
Japan,0.8,France,1.0,0.423,0.577,0.270,0.403,0.327,0.059,0.081,0.094,0.094
Japan,0.8,Germany,1.3,0.336,0.664,0.216,0.502,0.282,0.046,0.088,0.074,0.074
Japan,1.5,Korea Republic,0.5,0.789,0.211,0.625,0.118,0.257,0.096,0.025,0.068,0.068
Japan,1.5,Netherlands,0.6,0.732,0.268,0.570,0.164,0.266,0.093,0.035,0.069,0.069
Japan,1.4,Norway,0.7,0.720,0.280,0.556,0.172,0.273,0.092,0.037,0.072,0.072
Japan,1.2,Sweden,0.9,0.605,0.395,0.446,0.264,0.290,0.083,0.055,0.076,0.076
Japan,2.3,Switzerland,0.7,0.860,0.140,0.746,0.090,0.164,0.081,0.017,0.033,0.033
Japan,0.7,USA,1.3,0.328,0.672,0.206,0.504,0.291,0.044,0.090,0.078,0.078
Korea Republic,0.9,Australia,1.4,0.361,0.639,0.244,0.486,0.270,0.050,0.085,0.068,0.068
Korea Republic,0.5,Brazil,1.1,0.284,0.716,0.152,0.522,0.326,0.035,0.096,0.097,0.097
Korea Republic,1.1,Cameroon,0.4,0.727,0.273,0.526,0.138,0.336,0.098,0.032,0.103,0.103
Korea Republic,0.4,Canada,1.2,0.252,0.748,0.134,0.562,0.303,0.030,0.098,0.088,0.088
Korea Republic,0.7,China PR,0.6,0.528,0.472,0.324,0.277,0.398,0.074,0.064,0.130,0.130
Korea Republic,0.9,Colombia,0.6,0.596,0.404,0.400,0.237,0.363,0.084,0.054,0.112,0.112
Korea Republic,0.6,England,1.3,0.293,0.707,0.176,0.535,0.289,0.038,0.093,0.079,0.079
Korea Republic,0.4,France,1.7,0.160,0.840,0.086,0.691,0.223,0.018,0.093,0.056,0.056
Korea Republic,0.4,Germany,2.2,0.097,0.903,0.055,0.792,0.153,0.010,0.078,0.033,0.033
Korea Republic,0.5,Japan,1.5,0.211,0.789,0.118,0.625,0.257,0.025,0.096,0.068,0.068
Korea Republic,0.8,Netherlands,1.1,0.410,0.590,0.264,0.419,0.317,0.057,0.082,0.089,0.089
Korea Republic,0.8,Norway,1.1,0.398,0.602,0.254,0.429,0.317,0.055,0.083,0.089,0.089
Korea Republic,0.7,Sweden,1.5,0.273,0.727,0.169,0.567,0.264,0.036,0.092,0.068,0.068
Korea Republic,1.3,Switzerland,1.1,0.538,0.462,0.394,0.328,0.278,0.074,0.064,0.070,0.070
Korea Republic,0.4,USA,2.2,0.098,0.902,0.053,0.787,0.159,0.010,0.080,0.035,0.035
Netherlands,1.2,Australia,1.4,0.457,0.543,0.332,0.406,0.262,0.064,0.074,0.062,0.062
Netherlands,0.6,Brazil,1.1,0.346,0.654,0.206,0.470,0.324,0.046,0.090,0.094,0.094
Netherlands,1.4,Cameroon,0.4,0.806,0.194,0.637,0.100,0.263,0.097,0.022,0.072,0.072
Netherlands,0.6,Canada,1.2,0.310,0.690,0.183,0.511,0.306,0.041,0.092,0.086,0.086
Netherlands,0.9,China PR,0.6,0.610,0.390,0.415,0.229,0.356,0.085,0.052,0.109,0.109
Netherlands,1.2,Colombia,0.6,0.684,0.316,0.503,0.186,0.311,0.092,0.041,0.089,0.089
