Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,Sat,2021-05-01,17:00,SuperSport,1–1,Baroka FC,,Lucas Masterpieces Moripe Stadium,Thabo khabela,Match Report,
2021,,Sun,2021-05-02,15:00,Orlando Pirates,0–3,Sundowns,,Orlando Stadium,Luxolo Badi,Match Report,
2021,,Tue,2021-05-04,17:00,TTM FC,2–1,Kaizer Chiefs,,Thohoyandou Stadium,Victor Hlungwani,Match Report,
2021,,Wed,2021-05-05,15:00,Sundowns,2–0,Maritzburg Utd,,Loftus Versfeld Stadium,Abongile Tom,Match Report,
2021,,Thu,2021-05-06,17:00,Orlando Pirates,3–0,Black Leopards,,Orlando Stadium,Masixole Bambiso,Match Report,
2021,,Sun,2021-05-09,15:00,TS Galaxy,0–1,Sundowns,,Mbombela Stadium,Tshidiso Mkwanazi,Match Report,
2021,,Tue,2021-05-11,15:00,Stellenbosch FC,0–0,Orlando Pirates,,Danie Craven Stadium,Masixole Bambiso,Match Report,
2021,,Tue,2021-05-11,15:00,AmaZulu,0–1,Baroka FC,,Growthpoint Kings Park Stadium,Victor Hlungwani,Match Report,
2021,,Wed,2021-05-12,15:00,Chippa Utd,0–0,Black Leopards,,Nelson Mandela Bay Stadium,Luxolo Badi,Match Report,
2021,,Wed,2021-05-12,15:00,Maritzburg Utd,3–2,Golden Arrows,,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
2021,,Wed,2021-05-12,15:00,Bloem Celtic,0–0,Cape Town City,,Dr. Petrus Molemela Stadium,Qunta Siyabulela,Match Report,
2021,,Wed,2021-05-12,17:00,Kaizer Chiefs,1–1,Moroka Swallows,,Soccer City,Eugene Mdluli,Match Report,
2021,,Wed,2021-05-12,17:00,SuperSport,1–0,TTM FC,,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2021,,Sat,2021-05-15,15:00,TTM FC,1–0,Maritzburg Utd,,Thohoyandou Stadium,Luxolo Badi,Match Report,
2021,,Tue,2021-05-18,15:00,Moroka Swallows,0–0,Stellenbosch FC,,Volkswagen Dobsonville Stadium,Abongile Tom,Match Report,
2021,,Tue,2021-05-18,15:00,Baroka FC,0–0,TTM FC,,Peter Mokaba Stadium,Eugene Mdluli,Match Report,
2021,,Tue,2021-05-18,17:00,Chippa Utd,1–2,Bloem Celtic,,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
2021,,Wed,2021-05-19,15:00,Golden Arrows,3–0,TS Galaxy,,Sugar Ray Xulu Stadium,Christopher Kistoor,Match Report,
2021,,Wed,2021-05-19,17:00,Cape Town City,0–0,Maritzburg Utd,,Cape Town Stadium,Tshidiso Mkwanazi,Match Report,
2021,,Wed,2021-05-26,15:00,Black Leopards,2–1,Kaizer Chiefs,,Thohoyandou Stadium,Christopher Kistoor,Match Report,
2021,,Wed,2021-05-26,17:00,Sundowns,3–1,SuperSport,,Loftus Versfeld Stadium,Victor Gomes,Match Report,
2021,,Thu,2021-05-27,17:00,Orlando Pirates,1–0,AmaZulu,,Orlando Stadium,Qunta Siyabulela,Match Report,
2021,,Sat,2021-05-29,17:00,Moroka Swallows,0–0,Sundowns,,Volkswagen Dobsonville Stadium,Thando Ndzandzeka,Match Report,
2021,,Sun,2021-05-30,15:00,TS Galaxy,1–0,Orlando Pirates,,Mbombela Stadium,Abongile Tom,Match Report,
2021,,Wed,2021-06-02,17:00,Baroka FC,1–2,Orlando Pirates,,Peter Mokaba Stadium,Thokozani Mkhize,Match Report,
2021,,Wed,2021-06-02,17:00,Stellenbosch FC,0–0,TS Galaxy,,Danie Craven Stadium,Phillip Tinyani,Match Report,
2021,,Wed,2021-06-02,17:00,TTM FC,0–0,Chippa Utd,,Thohoyandou Stadium,Victor Gomes,Match Report,
2021,,Wed,2021-06-02,17:00,SuperSport,2–0,Maritzburg Utd,,Lucas Masterpieces Moripe Stadium,Tshidiso Mkwanazi,Match Report,
2021,,Wed,2021-06-02,17:00,Kaizer Chiefs,3–2,Golden Arrows,,Soccer City,Victor Hlungwani,Match Report,
2021,,Wed,2021-06-02,17:00,Cape Town City,3–1,Black Leopards,,Cape Town Stadium,Luxolo Badi,Match Report,
2021,,Wed,2021-06-02,17:00,AmaZulu,1–0,Moroka Swallows,,Growthpoint Kings Park Stadium,Thando Ndzandzeka,Match Report,
2021,,Wed,2021-06-02,17:00,Bloem Celtic,0–2,Sundowns,,Dr. Petrus Molemela Stadium,Thabo khabela,Match Report,
2021,,Sat,2021-06-05,15:00,Orlando Pirates,,TTM FC,,Orlando Stadium,,Head-to-Head,
2021,,Sat,2021-06-05,15:00,TS Galaxy,,Kaizer Chiefs,,Mbombela Stadium,,Head-to-Head,
2021,,Sat,2021-06-05,15:00,Sundowns,,Cape Town City,,Lucas Masterpieces Moripe Stadium,,Head-to-Head,
2021,,Sat,2021-06-05,15:00,Maritzburg Utd,,AmaZulu,,Harry Gwala Stadium,,Head-to-Head,
2021,,Sat,2021-06-05,15:00,Black Leopards,,Bloem Celtic,,Thohoyandou Stadium,,Head-to-Head,
2021,,Sat,2021-06-05,15:00,Moroka Swallows,,Baroka FC,,Volkswagen Dobsonville Stadium,,Head-to-Head,
2021,,Sat,2021-06-05,15:00,Golden Arrows,,Stellenbosch FC,,Sugar Ray Xulu Stadium,,Head-to-Head,
2021,,Sat,2021-06-05,15:00,Chippa Utd,,SuperSport,,Nelson Mandela Bay Stadium,,Head-to-Head,
