Round Number,Date,Location,Home Team,Away Team,Result
37,09/05/2018 19:45,Stamford Bridge,Chelsea,Huddersfield,1 - 1
37,09/05/2018 20:00,Etihad Stadium,Man City,Brighton,3 - 1
37,09/05/2018 20:00,Wembley Stadium,Spurs,Newcastle,1 - 0
37,10/05/2018 19:45,London Stadium,West Ham,Man Utd,0 - 0
38,13/05/2018 15:00,Turf Moor,Burnley,Bournemouth,1 - 2
38,13/05/2018 15:00,Selhurst Park,Crystal Palace,West Brom,2 - 0
38,13/05/2018 15:00,John Smith's Stadium,Huddersfield,Arsenal,0 - 1
38,13/05/2018 15:00,Anfield,Liverpool,Brighton,4 - 0
38,13/05/2018 15:00,Old Trafford,Man Utd,Watford,1 - 0
38,13/05/2018 15:00,St. James' Park,Newcastle,Chelsea,3 - 0
38,13/05/2018 15:00,St. Mary's Stadium,Southampton,Man City,0 - 1
38,13/05/2018 15:00,Liberty Stadium,Swansea,Stoke,1 - 2
38,13/05/2018 15:00,Wembley Stadium,Spurs,Leicester,5 - 4
38,13/05/2018 15:00,London Stadium,West Ham,Everton,3 - 1
