Albany (NY),14,2003,"Matrone, Anthony",34162,So.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Micali, Anthony",34159,So.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Perez, Mark",34153,Fr.,2002-03,5,1,0.20,0,,2,0.40,0:00,0,,0,
Albany (NY),14,2003,"Pinto, Valter",34154,So.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Procknal, Steven",34168,Sr.,2002-03,15,6,0.40,3,0.20,15,1.00,0:00,0,,0,
Albany (NY),14,2003,"Roty, Tim",34167,Sr.,2002-03,16,0,,2,0.13,2,0.13,0:00,0,,0,
Albany (NY),14,2003,"Scamarone, Johao",34163,So.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Serraro, Trevor",34148,Sr.,2002-03,8,0,,0,,0,,11:24,13,1.71,47,
Albany (NY),14,2003,"Silva, Caio",244383,Fr.,2002-03,14,1,0.07,1,0.07,3,0.21,0:00,0,,0,
Albany (NY),14,2003,"Stroud, Jonathan",244382,Fr.,2002-03,9,0,,1,0.11,1,0.11,0:00,0,,0,
Albany (NY),14,2003,"Teleky, Geza",244397,So.,2002-03,12,1,0.08,0,,2,0.17,0:00,0,,0,
Albany (NY),14,2003,"Theofilou, Savvas",244388,So.,2002-03,17,2,0.12,3,0.18,7,0.41,0:00,0,,0,
Albany (NY),14,2003,"Toure, Ousmane",244387,So.,2002-03,15,2,0.13,2,0.13,6,0.40,0:00,0,,0,
Albertus Magnus,2798,2003,"Abbey, Michael",254596,Jr.,2002-03,19,4,0.21,1,0.05,9,0.47,0:00,0,,0,
Albertus Magnus,2798,2003,"Adams, John",254602,Sr.,2002-03,17,,,,,,,23:27,18,1.15,104,
Albertus Magnus,2798,2003,"Bauer, Michael",254601,Sr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Bedocs, Kurt",254284,Jr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Bonavena, Frank",254286,Sr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Cisse, Youssouf",254600,Fr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Errico, Jeff",254278,Sr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Gilman, Mike",254597,Fr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Grabowski, Dan",254281,Sr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Gutierrez, Ricardo",254285,Jr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Liovvi, Luigi",254287,Fr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Medieros, Nelson",254282,Jr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Millett, Greg",254594,Sr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Montoya, Felipe",254279,Jr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Moreira, Paulo",254280,Sr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Santo, Ryan",254598,Fr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Sobalsky, Tim",254283,Fr.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Wajnowski, Nick",254595,So.,2002-03,,,,,,,,,,,,
Albertus Magnus,2798,2003,"Wood, Tucker",254599,So.,2002-03,,,,,,,,,,,,
Albion,15,2003,"Allen, Sayun",239244,Fr.,2002-03,15,2,0.13,0,,4,0.27,0:00,0,,0,
Albion,15,2003,"Bander, Noah",239245,Fr.,2002-03,9,0,,0,,0,,0:00,0,,0,
Albion,15,2003,"Bennett, Jeff",239246,Fr.,2002-03,18,1,0.06,0,,2,0.11,0:00,0,,0,
Albion,15,2003,"Bogira, Peter",239247,Fr.,2002-03,4,0,,0,,0,,0:00,0,,0,
Albion,15,2003,"Bonjernoor, Brett",90094,So.,2002-03,16,4,0.25,2,0.13,10,0.63,0:00,0,,0,
Albion,15,2003,"Boynton, Marcus",90096,Sr.,2002-03,17,10,0.59,0,,20,1.18,0:00,0,,0,
Albion,15,2003,"Brzezinski, Matt",239248,Fr.,2002-03,17,0,,0,,0,,0:00,0,,0,
Albion,15,2003,"Carroll, Alex",90098,Sr.,2002-03,17,0,,0,,0,,0:00,0,,0,
Albion,15,2003,"D'Andrea, Eric",90100,Sr.,2002-03,16,0,,0,,0,,0:00,0,,0,
Albion,15,2003,"Durance, Erik",239249,Fr.,2002-03,17,0,,1,0.06,1,0.06,0:00,0,,0,
Albion,15,2003,"Elliott, Brian",90101,So.,2002-03,17,0,,0,,0,,0:00,0,,0,
Albion,15,2003,"Furst, Cass",239250,Fr.,2002-03,16,1,0.06,0,,2,0.13,0:00,0,,0,
Albion,15,2003,"Godfrey, Ben",90102,Sr.,2002-03,17,3,0.18,1,0.06,7,0.41,0:00,0,,0,
Albion,15,2003,"Himes, Chris",239251,Fr.,2002-03,17,4,0.24,2,0.12,10,0.59,0:00,0,,0,
Albion,15,2003,"Johnson, Eric",239252,Fr.,2002-03,17,3,0.18,5,0.29,11,0.65,0:00,0,,0,
Albion,15,2003,"Melotti, David",239263,Fr.,2002-03,0,0,,0,,0,,8:15,8,1.45,25,
Albion,15,2003,"Menig, Josh",239243,Sr.,2002-03,17,2,0.12,0,,4,0.24,0:00,0,,0,
Albion,15,2003,"Palazzolo, Tavio",239264,Fr.,2002-03,0,0,,0,,0,,14:37,18,1.85,56,
Albion,15,2003,"Ricker, Bryan",90127,So.,2002-03,17,0,,1,0.06,1,0.06,0:00,0,,0,
Albion,15,2003,"Schmidt, Aaron",239265,Fr.,2002-03,18,1,0.06,1,0.06,3,0.17,0:00,0,,0,
Albion,15,2003,"Warriner, Tyler",239266,Fr.,2002-03,0,0,,0,,0,,4:30,8,2.67,16,
Albright,16,2003,"Akabane, Naoya",274577,Jr.,2002-03,13,1,0.08,1,0.08,3,0.23,0:00,0,,0,
Albright,16,2003,"Anthony, Albert",274578,Fr.,2002-03,,,,,,,,,,,,
Albright,16,2003,"Brennan, William",274579,Fr.,2002-03,4,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Campo, A.J.",274580,So.,2002-03,4,0,,0,,0,,2:36,16,9.23,18,
Albright,16,2003,"Dever, John",274581,Jr.,2002-03,1,0,,0,,0,,0:45,1,2.00,4,
Albright,16,2003,"Gold, Matt",274582,Fr.,2002-03,2,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Greene, Ryan",274583,So.,2002-03,4,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Hoffman, Jason",274584,Fr.,2002-03,2,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Horton, Adam",274585,Fr.,2002-03,,,,,,,,,,,,
Albright,16,2003,"Kiesel, Wynn",274586,Sr.,2002-03,15,2,0.13,0,,4,0.27,0:00,0,,0,
Albright,16,2003,"Kucera, Jon",274587,Jr.,2002-03,16,1,0.06,1,0.06,3,0.19,0:00,0,,0,
Albright,16,2003,"Lee, Robert",274588,Jr.,2002-03,14,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Loris, Nick",274589,Fr.,2002-03,15,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Manbeck, Ryan",266441,Jr.,2002-03,16,0,,0,,0,,23:39,44,2.79,136,
Albright,16,2003,"Martin, Ben",274590,So.,2002-03,,,,,,,,,,,,
Albright,16,2003,"Nurko, Kyle",274591,Jr.,2002-03,17,1,0.06,1,0.06,3,0.18,0:00,0,,0,
Albright,16,2003,"Pugh, Mike",274592,Jr.,2002-03,17,4,0.24,2,0.12,10,0.59,0:00,0,,0,
Albright,16,2003,"Reinford, Scott",274593,So.,2002-03,16,1,0.06,4,0.25,6,0.38,0:00,0,,0,
Albright,16,2003,"Robinson, Brandon",274594,Fr.,2002-03,12,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Stoltzfus, Darren",274595,Fr.,2002-03,2,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Stoltzfus, Brian",274596,Jr.,2002-03,15,1,0.07,2,0.13,4,0.27,0:00,0,,0,
Albright,16,2003,"Tessari, Chad",274598,Jr.,2002-03,17,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Travitz, Tyler",274599,Fr.,2002-03,14,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Van Fossen, Dave",274600,Jr.,2002-03,16,1,0.06,1,0.06,3,0.19,0:00,0,,0,
Albright,16,2003,"Whytlaw, Ryan",274601,Jr.,2002-03,9,0,,0,,0,,0:00,0,,0,
Albright,16,2003,"Yamashita, Seiji",274602,Fr.,2002-03,,,,,,,,,,,,
Albright,16,2003,"Zimmerman, Matt",274603,Jr.,2002-03,17,3,0.18,0,,6,0.35,0:00,0,,0,
Alderson-Broaddus,934,2003,"Brandon, Corey",237307,Fr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Cobra, Thales",251851,Fr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Cummons, Brandon",237305,Fr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Grose, Noah",94465,So.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Harris, Joe",94464,Jr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Harshman, John",237302,Fr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Hennessey, Dave",247702,Jr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Hill, Gary",94462,Jr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Pauley, Evan",237306,Fr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Pile, Taylor",237301,Sr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Schork, Chris",94466,Sr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Schubert, Hans",94459,So.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Sharafei, Poya",94461,Sr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Smith, Phil",237303,Fr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Sutherland, Evan",245412,Sr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Sutherland, Brock",245413,Sr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Thomas, Devon",245415,So.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Vance, Nick",245414,Sr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"West, Reed",237300,Sr.,2002-03,,,,,,,,,,,,
Alderson-Broaddus,934,2003,"Whitaker, John",237304,Fr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Ball, Kevin",51327,Sr.,2002-03,11,0,,0,,0,,13:59,20,2.15,73,
Alfred,18,2003,"Bean, Kris",109168,So.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Betts, Greg",109153,Sr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Branfman, Jared",109203,Jr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Brown, William",263148,Fr.,2002-03,8,0,,0,,0,,9:09,11,1.80,22,
Alfred,18,2003,"Carroll III, James",109164,Sr.,2002-03,14,1,0.07,1,0.07,3,0.21,0:00,0,,0,
Alfred,18,2003,"Chapman, Oliver",109149,Sr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Clukey, Randy",109151,So.,2002-03,15,0,,2,0.13,2,0.13,0:00,0,,0,
Alfred,18,2003,"Delorenzo, Mike",263159,Fr.,2002-03,10,1,0.10,0,,2,0.20,0:00,0,,0,
Alfred,18,2003,"Dionne, Chris",109152,Jr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Donahoe, Shane",109150,Sr.,2002-03,15,2,0.13,1,0.07,5,0.33,0:00,0,,0,
Alfred,18,2003,"Donahoe, Brian",109165,So.,2002-03,15,0,,0,,0,,0:00,0,,0,
Alfred,18,2003,"Edmonds, Ian",109200,Jr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Gennarini, Andy",109154,Sr.,2002-03,6,0,,0,,0,,0:00,0,,0,
Alfred,18,2003,"Gillan, Justin",263154,Fr.,2002-03,13,2,0.15,1,0.08,5,0.38,0:00,0,,0,
Alfred,18,2003,"Gnann, Karl",263151,Fr.,2002-03,15,7,0.47,7,0.47,21,1.40,0:00,0,,0,
Alfred,18,2003,"Hasselberg, Tim",263155,Fr.,2002-03,4,0,,0,,0,,0:00,0,,0,
Alfred,18,2003,"Hoffman, Ian",109166,Jr.,2002-03,13,1,0.08,0,,2,0.15,0:00,0,,0,
Alfred,18,2003,"Ilecki, Mike",109167,Jr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Karp, Alex",263149,Fr.,2002-03,8,0,,0,,0,,0:00,0,,0,
Alfred,18,2003,"Kernahan, Andy",109155,Jr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Lozier, Austin",263161,Fr.,2002-03,14,3,0.21,1,0.07,7,0.50,0:00,0,,0,
Alfred,18,2003,"Mancini, Pat",109163,Sr.,2002-03,15,0,,0,,0,,0:00,0,,0,
Alfred,18,2003,"Morgan, Adam",263150,Fr.,2002-03,15,2,0.13,1,0.07,5,0.33,0:00,0,,0,
Alfred,18,2003,"Ninos, John",263156,Fr.,2002-03,15,3,0.20,0,,6,0.40,0:00,0,,0,
Alfred,18,2003,"Osmic, Anes",263158,Fr.,2002-03,12,1,0.08,0,,2,0.17,0:00,0,,0,
Alfred,18,2003,"Owen, Dale",263152,Fr.,2002-03,13,3,0.23,0,,6,0.46,0:00,0,,0,
Alfred,18,2003,"Pais, Skylar",263160,Fr.,2002-03,3,0,,0,,0,,0:00,0,,0,
Alfred,18,2003,"Phelan, Keith",263153,Fr.,2002-03,15,5,0.33,2,0.13,12,0.80,0:00,0,,0,
Alfred,18,2003,"Robin, Stephen",109199,So.,2002-03,14,1,0.07,1,0.07,3,0.21,0:00,0,,0,
Alfred,18,2003,"Sussman, Brad",109156,Sr.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Tornabene, Salvatore",109159,So.,2002-03,,,,,,,,,,,,
Alfred,18,2003,"Wentlet, Adam",263157,Fr.,2002-03,12,1,0.08,2,0.17,4,0.33,0:00,0,,0,
Allegheny,19,2003,"Armstrong, Matt",19055,Sr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Bland, Eric",250024,Jr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Bowman, Matt",250025,So.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Cutler, Andy",19056,Sr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"DeLeon, Justin",19053,Sr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Duncan, Scotland",19061,Sr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Figura, Jason",91814,Jr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Fisher, Ian",19057,Jr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Fletcher, Adam",91815,Jr.,2002-03,,,,,,,,,,,,
Allegheny,19,2003,"Gearhart, Jonathan",19062,Sr.,2002-03,,,,,,,,,,,,
