team,n,rank,w,d,l,gf,ga,gd,pts
SK Sturm Gra,1085,4,16,9,11,58,44,14,57
Rapid Vienna,1085,5,11,11,14,51,44,7,44
RZ Pellets W,1085,6,12,8,16,48,59,-11,44
Admira Wacke,1085,7,12,8,16,37,55,-18,44
St. Pölten,1085,8,10,10,16,39,57,-18,40
Mattersburg,1085,9,9,9,18,37,56,-19,36
SV Josko Rie,1085,10,8,6,22,28,56,-28,30
FC Salzburg,1086,1,24,7,5,71,26,45,79
SC Rheindorf,1086,2,19,7,10,54,40,14,64
Vienna,1086,3,19,4,13,60,52,8,61
SK Sturm Gra,1086,4,16,6,14,53,42,11,54
Rapid Vienna,1086,5,13,11,12,60,41,19,50
RZ Pellets W,1086,6,13,5,18,43,55,-12,44
Admira Wacke,1086,7,12,8,16,37,55,-18,44
SV Josko Rie,1086,8,13,3,20,36,57,-21,42
Mattersburg,1086,9,9,9,18,34,48,-14,36
St. Pölten,1086,10,8,8,20,37,69,-32,32
FC Salzburg,1087,1,25,5,6,75,31,44,80
Vienna,1087,2,21,5,10,68,49,19,68
SC Rheindorf,1087,3,18,10,8,51,36,15,64
SK Sturm Gra,1087,4,18,6,12,55,38,17,60
RZ Pellets W,1087,5,13,6,17,49,57,-8,45
Admira Wacke,1087,6,12,7,17,33,54,-21,43
Mattersburg,1087,7,11,6,19,39,53,-14,39
Rapid Vienna,1087,8,8,13,15,47,51,-4,37
St. Pölten,1087,9,9,8,19,38,62,-24,35
SV Josko Rie,1087,10,9,6,21,31,55,-24,33
FC Salzburg,1088,1,23,5,8,70,27,43,74
SC Rheindorf,1088,2,21,6,9,57,39,18,69
Rapid Vienna,1088,3,17,8,11,65,40,25,59
SK Sturm Gra,1088,4,17,6,13,54,42,12,57
Vienna,1088,5,16,7,13,58,51,7,55
Admira Wacke,1088,6,14,7,15,39,55,-16,49
St. Pölten,1088,7,12,7,17,48,63,-15,43
RZ Pellets W,1088,8,12,6,18,42,55,-13,42
SV Josko Rie,1088,9,10,4,22,34,65,-31,34
Mattersburg,1088,10,6,8,22,31,61,-30,26
FC Salzburg,1089,1,22,7,7,69,30,39,73
SC Rheindorf,1089,2,17,10,9,54,41,13,61
Vienna,1089,3,17,6,13,59,50,9,57
Rapid Vienna,1089,4,15,11,10,58,37,21,56
SK Sturm Gra,1089,5,15,8,13,56,47,9,53
St. Pölten,1089,6,10,11,15,46,64,-18,41
SV Josko Rie,1089,7,11,8,17,30,49,-19,41
RZ Pellets W,1089,8,11,7,18,40,53,-13,40
Admira Wacke,1089,9,11,5,20,33,57,-24,38
Mattersburg,1089,10,8,13,15,38,55,-17,37
SC Rheindorf,1090,1,22,5,9,57,45,12,71
FC Salzburg,1090,2,21,5,10,70,38,32,68
Vienna,1090,3,21,3,12,71,48,23,66
SK Sturm Gra,1090,4,19,4,13,63,41,22,61
Rapid Vienna,1090,5,14,11,11,55,40,15,53
RZ Pellets W,1090,6,15,6,15,49,55,-6,51
St. Pölten,1090,7,11,9,16,44,62,-18,42
SV Josko Rie,1090,8,10,4,22,37,59,-22,34
Admira Wacke,1090,9,9,7,20,39,68,-29,34
Mattersburg,1090,10,8,6,22,33,62,-29,30
Vienna,1091,1,21,5,10,64,45,19,68
FC Salzburg,1091,2,18,11,7,65,30,35,65
SC Rheindorf,1091,3,18,9,9,55,45,10,63
SK Sturm Gra,1091,4,15,6,15,52,43,9,51
RZ Pellets W,1091,5,14,8,14,46,52,-6,50
Rapid Vienna,1091,6,11,14,11,49,37,12,47
Mattersburg,1091,7,12,8,16,39,50,-11,44
Admira Wacke,1091,8,11,9,16,33,49,-16,42
St. Pölten,1091,9,9,8,19,44,72,-28,35
SV Josko Rie,1091,10,10,4,22,37,61,-24,34
SC Rheindorf,1092,1,23,5,8,68,44,24,74
FC Salzburg,1092,2,21,7,8,72,38,34,70
Vienna,1092,3,19,4,13,68,50,18,61
SK Sturm Gra,1092,4,16,5,15,50,44,6,53
Rapid Vienna,1092,5,12,12,12,46,41,5,48
Admira Wacke,1092,6,14,6,16,39,55,-16,48
RZ Pellets W,1092,7,13,5,18,52,61,-9,44
St. Pölten,1092,8,11,7,18,46,67,-21,40
SV Josko Rie,1092,9,12,3,21,41,59,-18,39
Mattersburg,1092,10,7,10,19,35,58,-23,31
FC Salzburg,1093,1,23,8,5,71,30,41,77
SC Rheindorf,1093,2,20,6,10,55,39,16,66
SK Sturm Gra,1093,3,20,5,11,61,40,21,65
Vienna,1093,4,18,5,13,73,55,18,59
Rapid Vienna,1093,5,11,13,12,51,38,13,46
Admira Wacke,1093,6,13,7,16,31,54,-23,46
SV Josko Rie,1093,7,12,5,19,37,54,-17,41
St. Pölten,1093,8,10,10,16,41,60,-19,40
RZ Pellets W,1093,9,10,7,19,41,64,-23,37
Mattersburg,1093,10,6,8,22,32,59,-27,26
FC Salzburg,1094,1,20,8,8,69,31,38,68
SK Sturm Gra,1094,2,20,7,9,56,34,22,67
SC Rheindorf,1094,3,19,7,10,56,41,15,64
Vienna,1094,4,18,4,14,65,55,10,58
Rapid Vienna,1094,5,13,12,11,51,36,15,51
RZ Pellets W,1094,6,12,10,14,47,53,-6,46
Mattersburg,1094,7,12,6,18,40,53,-13,42
St. Pölten,1094,8,9,10,17,42,64,-22,37
Admira Wacke,1094,9,10,7,19,34,58,-24,37
SV Josko Rie,1094,10,9,5,22,39,74,-35,32
Vienna,1095,1,22,4,10,72,49,23,70
SC Rheindorf,1095,2,21,7,8,62,41,21,70
FC Salzburg,1095,3,20,9,7,63,27,36,69
SK Sturm Gra,1095,4,19,5,12,59,41,18,62
Rapid Vienna,1095,5,12,12,12,48,38,10,48
St. Pölten,1095,6,13,8,15,49,64,-15,47
RZ Pellets W,1095,7,12,6,18,48,59,-11,42
Admira Wacke,1095,8,10,7,19,34,57,-23,37
SV Josko Rie,1095,9,9,4,23,32,63,-31,31
Mattersburg,1095,10,7,8,21,31,59,-28,29
FC Salzburg,1096,1,20,6,10,65,32,33,66
SK Sturm Gra,1096,2,19,6,11,58,36,22,63
Vienna,1096,3,19,6,11,64,51,13,63
Rapid Vienna,1096,4,16,9,11,58,37,21,57
SC Rheindorf,1096,5,17,6,13,48,44,4,57
Admira Wacke,1096,6,13,9,14,35,52,-17,48
St. Pölten,1096,7,13,6,17,50,60,-10,45
Mattersburg,1096,8,10,9,17,35,49,-14,39
RZ Pellets W,1096,9,10,8,18,42,58,-16,38
SV Josko Rie,1096,10,8,5,23,28,64,-36,29
Vienna,1097,1,23,3,10,72,42,30,72
FC Salzburg,1097,2,21,7,8,69,36,33,70
SC Rheindorf,1097,3,21,6,9,61,47,14,69
Admira Wacke,1097,4,16,4,16,39,48,-9,52
Rapid Vienna,1097,5,13,12,11,57,39,18,51
SK Sturm Gra,1097,6,15,6,15,53,46,7,51
RZ Pellets W,1097,7,12,7,17,42,54,-12,43
St. Pölten,1097,8,10,10,16,46,62,-16,40
Mattersburg,1097,9,9,7,20,33,59,-26,34
SV Josko Rie,1097,10,7,4,25,30,69,-39,25
SC Rheindorf,1098,1,18,10,8,58,44,14,64
FC Salzburg,1098,2,19,6,11,63,31,32,63
SK Sturm Gra,1098,3,17,9,10,51,34,17,60
Vienna,1098,4,18,6,12,65,53,12,60
Rapid Vienna,1098,5,14,11,11,49,36,13,53
RZ Pellets W,1098,6,13,5,18,40,54,-14,44
Mattersburg,1098,7,12,7,17,41,51,-10,43
Admira Wacke,1098,8,12,6,18,31,56,-25,42
SV Josko Rie,1098,9,11,7,18,37,53,-16,40
St. Pölten,1098,10,9,7,20,43,66,-23,34
FC Salzburg,1099,1,22,8,6,72,30,42,74
SK Sturm Gra,1099,2,19,5,12,61,38,23,62
Vienna,1099,3,19,5,12,64,55,9,62
SC Rheindorf,1099,4,17,7,12,51,48,3,58
Rapid Vienna,1099,5,15,10,11,52,36,16,55
RZ Pellets W,1099,6,13,9,14,46,51,-5,48
Admira Wacke,1099,7,13,7,16,36,53,-17,46
SV Josko Rie,1099,8,10,4,22,39,61,-22,34
Mattersburg,1099,9,8,9,19,34,56,-22,33
St. Pölten,1099,10,7,10,19,42,69,-27,31
SC Rheindorf,1100,1,20,9,7,67,43,24,69
FC Salzburg,1100,2,19,11,6,68,33,35,68
Vienna,1100,3,19,3,14,62,53,9,60
SK Sturm Gra,1100,4,17,6,13,55,41,14,57
Rapid Vienna,1100,5,12,12,12,51,39,12,48
Admira Wacke,1100,6,12,11,13,36,49,-13,47
RZ Pellets W,1100,7,12,6,18,43,57,-14,42
St. Pölten,1100,8,11,9,16,41,56,-15,42
Mattersburg,1100,9,9,7,20,34,58,-24,34
SV Josko Rie,1100,10,10,4,22,32,60,-28,34
FC Salzburg,1101,1,20,5,11,65,34,31,65
Vienna,1101,2,19,7,10,63,49,14,64
SK Sturm Gra,1101,3,18,5,13,59,47,12,59
SC Rheindorf,1101,4,18,5,13,53,49,4,59
RZ Pellets W,1101,5,15,6,15,52,50,2,51
Admira Wacke,1101,6,12,10,14,39,57,-18,46
Rapid Vienna,1101,7,11,11,14,46,42,4,44
St. Pölten,1101,8,11,7,18,48,61,-13,40
SV Josko Rie,1101,9,12,4,20,45,61,-16,40
Mattersburg,1101,10,10,8,18,36,56,-20,38
FC Salzburg,1102,1,21,5,10,65,35,30,68
Vienna,1102,2,20,4,12,66,50,16,64
SK Sturm Gra,1102,3,18,6,12,60,40,20,60
SC Rheindorf,1102,4,18,6,12,61,50,11,60
RZ Pellets W,1102,5,17,4,15,51,54,-3,55
Rapid Vienna,1102,6,12,10,14,47,42,5,46
Admira Wacke,1102,7,12,7,17,39,54,-15,43
Mattersburg,1102,8,12,6,18,42,59,-17,42
SV Josko Rie,1102,9,10,6,20,35,62,-27,36
St. Pölten,1102,10,9,8,19,40,60,-20,35
FC Salzburg,1103,1,22,5,9,68,32,36,71
SC Rheindorf,1103,2,20,6,10,61,39,22,66
Vienna,1103,3,20,4,12,64,52,12,64
SK Sturm Gra,1103,4,18,6,12,54,40,14,60
Rapid Vienna,1103,5,13,9,14,53,46,7,48
Admira Wacke,1103,6,13,7,16,36,52,-16,46
SV Josko Rie,1103,7,13,5,18,41,58,-17,44
RZ Pellets W,1103,8,11,9,16,45,53,-8,42
Mattersburg,1103,9,9,7,20,38,58,-20,34
St. Pölten,1103,10,8,8,20,39,69,-30,32
FC Salzburg,1104,1,23,5,8,68,32,36,74
SC Rheindorf,1104,2,21,5,10,63,46,17,68
Vienna,1104,3,18,6,12,63,52,11,60
SK Sturm Gra,1104,4,18,4,14,55,39,16,58
Rapid Vienna,1104,5,14,9,13,55,41,14,51
RZ Pellets W,1104,6,13,5,18,49,59,-10,44
Admira Wacke,1104,7,11,9,16,37,55,-18,42
St. Pölten,1104,8,10,10,16,46,65,-19,40
Mattersburg,1104,9,9,8,19,42,56,-14,35
SV Josko Rie,1104,10,10,5,21,36,69,-33,35
FC Salzburg,1105,1,21,8,7,69,34,35,71
SC Rheindorf,1105,2,19,10,7,53,39,14,67
Vienna,1105,3,20,3,13,69,53,16,63
SK Sturm Gra,1105,4,15,9,12,47,35,12,54
Rapid Vienna,1105,5,13,12,11,52,41,11,51
Admira Wacke,1105,6,14,7,15,41,51,-10,49
RZ Pellets W,1105,7,12,8,16,42,52,-10,44
St. Pölten,1105,8,9,13,14,42,57,-15,40
Mattersburg,1105,9,6,11,19,34,55,-21,29
SV Josko Rie,1105,10,8,5,23,33,65,-32,29
FC Salzburg,1106,1,22,6,8,74,37,37,72
SC Rheindorf,1106,2,18,7,11,56,46,10,61
Rapid Vienna,1106,3,16,10,10,63,42,21,58
Vienna,1106,4,18,4,14,74,62,12,58
SK Sturm Gra,1106,5,17,5,14,59,39,20,56
RZ Pellets W,1106,6,13,5,18,48,58,-10,44
SV Josko Rie,1106,7,13,5,18,43,63,-20,44
Admira Wacke,1106,8,12,5,19,35,67,-32,41
Mattersburg,1106,9,11,7,18,38,55,-17,40
St. Pölten,1106,10,9,8,19,47,68,-21,35
FC Salzburg,1107,1,20,8,8,61,26,35,68
Vienna,1107,2,21,2,13,70,51,19,65
SC Rheindorf,1107,3,19,7,10,56,46,10,64
SK Sturm Gra,1107,4,18,7,11,57,37,20,61
Rapid Vienna,1107,5,13,14,9,51,37,14,53
RZ Pellets W,1107,6,12,8,16,48,53,-5,44
Admira Wacke,1107,7,12,8,16,33,49,-16,44
St. Pölten,1107,8,9,10,17,42,66,-24,37
SV Josko Rie,1107,9,10,4,22,33,62,-29,34
Mattersburg,1107,10,7,10,19,36,60,-24,31
FC Salzburg,1108,1,23,8,5,73,25,48,77
SC Rheindorf,1108,2,18,10,8,55,41,14,64
Vienna,1108,3,18,5,13,64,51,13,59
SK Sturm Gra,1108,4,15,8,13,55,46,9,53
RZ Pellets W,1108,5,14,9,13,49,47,2,51
Rapid Vienna,1108,6,12,13,11,53,46,7,49
Mattersburg,1108,7,9,11,16,39,49,-10,38
SV Josko Rie,1108,8,9,8,19,29,53,-24,35
St. Pölten,1108,9,8,11,17,39,65,-26,35
Admira Wacke,1108,10,8,9,19,30,63,-33,33
SC Rheindorf,1109,1,25,5,6,68,37,31,80
FC Salzburg,1109,2,22,7,7,76,33,43,73
SK Sturm Gra,1109,3,16,8,12,55,40,15,56
Rapid Vienna,1109,4,15,10,11,54,38,16,55
Vienna,1109,5,15,6,15,62,60,2,51
St. Pölten,1109,6,12,10,14,47,52,-5,46
RZ Pellets W,1109,7,13,5,18,45,60,-15,44
Admira Wacke,1109,8,13,5,18,34,60,-26,44
SV Josko Rie,1109,9,8,5,23,33,71,-38,29
Mattersburg,1109,10,7,7,22,35,58,-23,28
FC Salzburg,1110,1,21,9,6,68,31,37,72
SK Sturm Gra,1110,2,22,4,10,60,31,29,70
SC Rheindorf,1110,3,20,7,9,60,47,13,67
Vienna,1110,4,17,8,11,61,54,7,59
Rapid Vienna,1110,5,10,14,12,46,40,6,44
Admira Wacke,1110,6,12,8,16,39,55,-16,44
RZ Pellets W,1110,7,10,9,17,44,55,-11,39
St. Pölten,1110,8,9,11,16,47,60,-13,38
SV Josko Rie,1110,9,8,8,20,34,60,-26,32
Mattersburg,1110,10,7,10,19,36,62,-26,31
FC Salzburg,1111,1,23,7,6,68,31,37,76
SK Sturm Gra,1111,2,19,6,11,64,40,24,63
SC Rheindorf,1111,3,19,6,11,62,41,21,63
Rapid Vienna,1111,4,17,9,10,60,33,27,60
Vienna,1111,5,17,5,14,65,61,4,56
Admira Wacke,1111,6,14,7,15,40,56,-16,49
RZ Pellets W,1111,7,14,5,17,48,57,-9,47
St. Pölten,1111,8,9,8,19,47,69,-22,35
Mattersburg,1111,9,8,6,22,33,64,-31,30
SV Josko Rie,1111,10,7,7,22,30,65,-35,28
SK Sturm Gra,1112,1,20,6,10,61,32,29,66
SC Rheindorf,1112,2,19,9,8,59,44,15,66
FC Salzburg,1112,3,19,8,9,62,31,31,65
Rapid Vienna,1112,4,15,11,10,56,39,17,56
Vienna,1112,5,16,8,12,62,53,9,56
RZ Pellets W,1112,6,13,7,16,47,58,-11,46
St. Pölten,1112,7,12,7,17,49,63,-14,43
Admira Wacke,1112,8,11,8,17,29,52,-23,41
SV Josko Rie,1112,9,9,6,21,29,59,-30,33
Mattersburg,1112,10,6,10,20,31,54,-23,28
Vienna,1113,1,23,2,11,68,47,21,71
FC Salzburg,1113,2,19,9,8,72,38,34,66
SC Rheindorf,1113,3,16,10,10,54,49,5,58
SK Sturm Gra,1113,4,15,9,12,53,40,13,54
Rapid Vienna,1113,5,12,15,9,60,43,17,51
RZ Pellets W,1113,6,14,6,16,52,60,-8,48
Admira Wacke,1113,7,14,6,16,36,54,-18,48
St. Pölten,1113,8,11,11,14,47,58,-11,44
SV Josko Rie,1113,9,10,4,22,38,60,-22,34
Mattersburg,1113,10,6,8,22,33,64,-31,26
FC Salzburg,1114,1,23,7,6,71,28,43,76
SC Rheindorf,1114,2,22,4,10,60,43,17,70
Vienna,1114,3,20,3,13,64,49,15,63
SK Sturm Gra,1114,4,19,4,13,56,40,16,61
Admira Wacke,1114,5,15,5,16,37,52,-15,50
Rapid Vienna,1114,6,12,12,12,53,41,12,48
Mattersburg,1114,7,9,10,17,37,54,-17,37
St. Pölten,1114,8,9,10,17,44,66,-22,37
RZ Pellets W,1114,9,10,5,21,40,65,-25,35
SV Josko Rie,1114,10,9,4,23,33,57,-24,31
FC Salzburg,1115,1,21,7,8,76,38,38,70
Vienna,1115,2,20,4,12,74,53,21,64
SC Rheindorf,1115,3,16,7,13,49,50,-1,55
SK Sturm Gra,1115,4,15,8,13,52,48,4,53
Rapid Vienna,1115,5,13,10,13,54,40,14,49
St. Pölten,1115,6,13,10,13,54,56,-2,49
RZ Pellets W,1115,7,14,7,15,52,56,-4,49
Admira Wacke,1115,8,11,9,16,36,57,-21,42
SV Josko Rie,1115,9,12,4,20,34,59,-25,40
Mattersburg,1115,10,7,10,19,36,60,-24,31
Vienna,1116,1,22,4,10,69,45,24,70
SC Rheindorf,1116,2,21,6,9,55,40,15,69
FC Salzburg,1116,3,20,7,9,71,35,36,67
SK Sturm Gra,1116,4,20,5,11,62,36,26,65
Rapid Vienna,1116,5,14,10,12,55,37,18,52
RZ Pellets W,1116,6,13,7,16,47,61,-14,46
St. Pölten,1116,7,12,7,17,43,61,-18,43
Admira Wacke,1116,8,11,5,20,31,59,-28,38
Mattersburg,1116,9,8,6,22,32,59,-27,30
SV Josko Rie,1116,10,9,3,24,25,57,-32,30
FC Salzburg,1117,1,22,10,4,67,25,42,76
Vienna,1117,2,20,2,14,69,51,18,62
SC Rheindorf,1117,3,18,7,11,53,45,8,61
SK Sturm Gra,1117,4,17,8,11,52,37,15,59
RZ Pellets W,1117,5,16,6,14,56,56,0,54
Rapid Vienna,1117,6,11,13,12,52,45,7,46
Mattersburg,1117,7,11,8,17,41,54,-13,41
Admira Wacke,1117,8,11,7,18,38,58,-20,40
St. Pölten,1117,9,9,8,19,41,68,-27,35
SV Josko Rie,1117,10,9,3,24,32,62,-30,30
FC Salzburg,1118,1,21,7,8,63,28,35,70
Vienna,1118,2,22,2,12,62,46,16,68
SK Sturm Gra,1118,3,19,6,11,60,36,24,63
SC Rheindorf,1118,4,17,7,12,53,42,11,58
Rapid Vienna,1118,5,15,10,11,56,42,14,55
RZ Pellets W,1118,6,14,7,15,50,55,-5,49
Admira Wacke,1118,7,12,7,17,34,55,-21,43
Mattersburg,1118,8,10,9,17,38,52,-14,39
St. Pölten,1118,9,7,10,19,40,68,-28,31
SV Josko Rie,1118,10,9,3,24,31,63,-32,30
FC Salzburg,1119,1,21,7,8,70,32,38,70
SC Rheindorf,1119,2,21,7,8,60,38,22,70
Vienna,1119,3,20,4,12,69,54,15,64
SK Sturm Gra,1119,4,16,9,11,54,40,14,57
Rapid Vienna,1119,5,12,13,11,52,41,11,49
Mattersburg,1119,6,13,10,13,52,52,0,49
RZ Pellets W,1119,7,11,7,18,42,59,-17,40
St. Pölten,1119,8,9,9,18,44,67,-23,36
Admira Wacke,1119,9,10,6,20,33,64,-31,36
SV Josko Rie,1119,10,9,4,23,30,59,-29,31
FC Salzburg,1120,1,23,8,5,76,27,49,77
SC Rheindorf,1120,2,21,7,8,55,39,16,70
Vienna,1120,3,20,4,12,62,54,8,64
SK Sturm Gra,1120,4,19,3,14,67,40,27,60
Rapid Vienna,1120,5,12,13,11,52,40,12,49
RZ Pellets W,1120,6,13,9,14,46,53,-7,48
Admira Wacke,1120,7,12,6,18,35,59,-24,42
Mattersburg,1120,8,9,7,20,39,57,-18,34
St. Pölten,1120,9,8,8,20,40,69,-29,32
SV Josko Rie,1120,10,8,5,23,34,68,-34,29
SC Rheindorf,1121,1,21,8,7,57,39,18,71
SK Sturm Gra,1121,2,20,5,11,58,35,23,65
FC Salzburg,1121,3,18,10,8,62,31,31,64
Vienna,1121,4,18,4,14,59,48,11,58
Rapid Vienna,1121,5,13,13,10,50,34,16,52
RZ Pellets W,1121,6,14,5,17,45,54,-9,47
Admira Wacke,1121,7,11,8,17,34,53,-19,41
Mattersburg,1121,8,9,10,17,38,55,-17,37
SV Josko Rie,1121,9,10,5,21,32,57,-25,35
St. Pölten,1121,10,7,10,19,40,69,-29,31
FC Salzburg,1122,1,21,8,7,69,30,39,71
SC Rheindorf,1122,2,19,8,9,54,37,17,65
Vienna,1122,3,19,5,12,63,53,10,62
SK Sturm Gra,1122,4,16,6,14,61,44,17,54
RZ Pellets W,1122,5,14,9,13,47,52,-5,51
Rapid Vienna,1122,6,12,10,14,51,44,7,46
Admira Wacke,1122,7,12,7,17,31,49,-18,43
Mattersburg,1122,8,11,7,18,42,64,-22,40
St. Pölten,1122,9,9,9,18,48,61,-13,36
SV Josko Rie,1122,10,9,7,20,30,62,-32,34
FC Salzburg,1123,1,23,8,5,67,23,44,77
SC Rheindorf,1123,2,18,8,10,53,44,9,62
Vienna,1123,3,17,9,10,64,50,14,60
SK Sturm Gra,1123,4,17,5,14,54,40,14,56
Rapid Vienna,1123,5,14,11,11,51,36,15,53
Admira Wacke,1123,6,13,7,16,34,54,-20,46
St. Pölten,1123,7,10,12,14,42,57,-15,42
RZ Pellets W,1123,8,11,7,18,42,53,-11,40
SV Josko Rie,1123,9,9,6,21,33,62,-29,33
Mattersburg,1123,10,8,7,21,31,52,-21,31
SC Rheindorf,1124,1,23,6,7,67,34,33,75
FC Salzburg,1124,2,20,9,7,68,35,33,69
Vienna,1124,3,18,4,14,64,55,9,58
SK Sturm Gra,1124,4,17,6,13,53,38,15,57
Admira Wacke,1124,5,14,8,14,35,56,-21,50
Rapid Vienna,1124,6,11,13,12,57,43,14,46
Mattersburg,1124,7,11,7,18,40,55,-15,40
RZ Pellets W,1124,8,10,9,17,43,61,-18,39
St. Pölten,1124,9,8,11,17,38,59,-21,35
SV Josko Rie,1124,10,10,3,23,30,59,-29,33
SC Rheindorf,1125,1,24,6,6,72,41,31,78
FC Salzburg,1125,2,21,7,8,73,35,38,70
SK Sturm Gra,1125,3,16,8,12,56,44,12,56
Vienna,1125,4,16,6,14,59,50,9,54
RZ Pellets W,1125,5,15,7,14,49,50,-1,52
Mattersburg,1125,6,13,8,15,46,48,-2,47
Rapid Vienna,1125,7,11,11,14,49,46,3,44
St. Pölten,1125,8,12,8,16,43,56,-13,44
Admira Wacke,1125,9,9,7,20,30,63,-33,34
SV Josko Rie,1125,10,7,4,25,27,71,-44,25
FC Salzburg,1126,1,21,8,7,67,30,37,71
SK Sturm Gra,1126,2,22,4,10,59,33,26,70
SC Rheindorf,1126,3,18,9,9,58,43,15,63
Vienna,1126,4,17,5,14,65,58,7,56
Admira Wacke,1126,5,15,5,16,40,51,-11,50
RZ Pellets W,1126,6,14,6,16,55,59,-4,48
Rapid Vienna,1126,7,10,14,12,47,44,3,44
St. Pölten,1126,8,9,10,17,45,61,-16,37
Mattersburg,1126,9,9,7,20,39,60,-21,34
SV Josko Rie,1126,10,9,4,23,31,67,-36,31
SC Rheindorf,1127,1,19,8,9,57,40,17,65
FC Salzburg,1127,2,19,7,10,64,33,31,64
RZ Pellets W,1127,3,18,7,11,57,51,6,61
SK Sturm Gra,1127,4,18,5,13,60,39,21,59
Vienna,1127,5,18,5,13,64,52,12,59
Rapid Vienna,1127,6,12,13,11,55,47,8,49
Admira Wacke,1127,7,12,7,17,37,56,-19,43
Mattersburg,1127,8,11,7,18,41,53,-12,40
St. Pölten,1127,9,8,10,18,40,68,-28,34
SV Josko Rie,1127,10,8,5,23,30,66,-36,29
FC Salzburg,1128,1,22,8,6,73,31,42,74
SC Rheindorf,1128,2,22,6,8,58,42,16,72
SK Sturm Gra,1128,3,18,6,12,58,40,18,60
Vienna,1128,4,18,6,12,66,52,14,60
Rapid Vienna,1128,5,15,13,8,57,37,20,58
RZ Pellets W,1128,6,12,8,16,47,55,-8,44
Admira Wacke,1128,7,11,7,18,37,57,-20,40
Mattersburg,1128,8,7,12,17,38,58,-20,33
SV Josko Rie,1128,9,8,6,22,36,67,-31,30
St. Pölten,1128,10,6,10,20,38,69,-31,28
SC Rheindorf,1129,1,21,7,8,61,43,18,70
FC Salzburg,1129,2,21,6,9,72,33,39,69
SK Sturm Gra,1129,3,20,7,9,60,34,26,67
Vienna,1129,4,17,6,13,59,53,6,57
Admira Wacke,1129,5,13,8,15,37,52,-15,47
RZ Pellets W,1129,6,13,7,16,49,56,-7,46
Rapid Vienna,1129,7,11,11,14,53,45,8,44
SV Josko Rie,1129,8,11,6,19,40,58,-18,39
St. Pölten,1129,9,9,7,20,42,71,-29,34
Mattersburg,1129,10,8,7,21,30,58,-28,31
SC Rheindorf,1130,1,21,7,8,60,45,15,70
Vienna,1130,2,21,4,11,74,57,17,67
FC Salzburg,1130,3,19,8,9,65,35,30,65
SK Sturm Gra,1130,4,16,6,14,52,42,10,54
Rapid Vienna,1130,5,12,12,12,55,42,13,48
RZ Pellets W,1130,6,13,6,17,47,54,-7,45
Mattersburg,1130,7,11,8,17,43,56,-13,41
St. Pölten,1130,8,11,8,17,43,61,-18,41
Admira Wacke,1130,9,11,8,17,37,57,-20,41
SV Josko Rie,1130,10,9,5,22,34,61,-27,32
FC Salzburg,1131,1,21,6,9,60,27,33,69
SC Rheindorf,1131,2,20,9,7,58,42,16,69
Vienna,1131,3,18,5,13,65,53,12,59
SK Sturm Gra,1131,4,17,7,12,56,40,16,58
Admira Wacke,1131,5,15,9,12,47,53,-6,54
Rapid Vienna,1131,6,12,10,14,51,47,4,46
RZ Pellets W,1131,7,13,7,16,46,52,-6,46
St. Pölten,1131,8,10,8,18,53,66,-13,38
Mattersburg,1131,9,9,7,20,38,61,-23,34
SV Josko Rie,1131,10,8,6,22,34,67,-33,30
FC Salzburg,1132,1,23,6,7,73,30,43,75
SK Sturm Gra,1132,2,21,6,9,69,38,31,69
SC Rheindorf,1132,3,20,5,11,57,48,9,65
Vienna,1132,4,19,5,12,74,55,19,62
Admira Wacke,1132,5,14,7,15,44,52,-8,49
Rapid Vienna,1132,6,13,9,14,51,46,5,48
St. Pölten,1132,7,11,7,18,46,68,-22,40
RZ Pellets W,1132,8,11,6,19,40,60,-20,39
Mattersburg,1132,9,8,9,19,34,57,-23,33
SV Josko Rie,1132,10,8,4,24,28,62,-34,28
FC Salzburg,1133,1,23,7,6,79,32,47,76
SC Rheindorf,1133,2,18,5,13,58,50,8,59
Vienna,1133,3,16,8,12,60,49,11,56
SK Sturm Gra,1133,4,17,5,14,52,41,11,56
Rapid Vienna,1133,5,13,12,11,53,44,9,51
Admira Wacke,1133,6,13,5,18,39,55,-16,44
St. Pölten,1133,7,12,7,17,46,59,-13,43
Mattersburg,1133,8,11,8,17,42,62,-20,41
RZ Pellets W,1133,9,11,7,18,39,54,-15,40
SV Josko Rie,1133,10,12,4,20,40,62,-22,40
FC Salzburg,1134,1,20,8,8,64,29,35,68
SC Rheindorf,1134,2,20,8,8,69,43,26,68
SK Sturm Gra,1134,3,20,4,12,59,36,23,64
Vienna,1134,4,18,6,12,66,57,9,60
Rapid Vienna,1134,5,14,12,10,57,37,20,54
RZ Pellets W,1134,6,12,8,16,49,55,-6,44
Admira Wacke,1134,7,12,7,17,34,59,-25,43
St. Pölten,1134,8,9,9,18,34,64,-30,36
SV Josko Rie,1134,9,10,3,23,29,61,-32,33
Mattersburg,1134,10,7,11,18,35,55,-20,32
FC Salzburg,1135,1,23,8,5,69,27,42,77
SC Rheindorf,1135,2,17,6,13,55,50,5,57
Vienna,1135,3,17,5,14,66,57,9,56
Rapid Vienna,1135,4,12,14,10,56,43,13,50
SV Josko Rie,1135,5,15,4,17,44,56,-12,49
SK Sturm Gra,1135,6,14,6,16,52,47,5,48
RZ Pellets W,1135,7,13,7,16,45,53,-8,46
Admira Wacke,1135,8,12,7,17,41,61,-20,43
St. Pölten,1135,9,11,8,17,48,60,-12,41
