Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
11,Tue,2019-10-29,21:15 (16:15),Barcelona,3.1,5–1,0.7,Valladolid,59896,Camp Nou,Alberola Rojas,Match Report,
11,Wed,2019-10-30,19:00 (14:00),Valencia,0.8,1–1,0.4,Sevilla,37881,Estadio de Mestalla,Carlos del Cerro,Match Report,
11,Wed,2019-10-30,19:00 (14:00),Real Sociedad,1.8,1–2,1.8,Levante,28142,Estadio Municipal de Anoeta,Mario Melero,Match Report,
11,Wed,2019-10-30,20:00 (15:00),Athletic Club,0.4,3–0,0.7,Espanyol,37094,San Mamés,Juan Martínez,Match Report,
11,Wed,2019-10-30,21:00 (16:00),Betis,1.1,2–1,1.7,Celta Vigo,43353,Estadio Benito Villamarín,Jesús Gil,Match Report,
11,Wed,2019-10-30,21:15 (16:15),Real Madrid,4.3,5–0,0.2,Leganés,53870,Estadio Santiago Bernabéu,César Soto,Match Report,
11,Thu,2019-10-31,19:00 (14:00),Mallorca,2.4,2–2,0.9,Osasuna,12641,Iberostar Estadi,Adrián Cordero,Match Report,
11,Thu,2019-10-31,19:00 (14:00),Eibar,2.0,2–1,1.6,Villarreal,5583,Estadio Municipal de Ipurúa,Guillermo Cuadra,Match Report,
11,Thu,2019-10-31,21:15 (16:15),Getafe,0.8,3–1,1.5,Granada,10227,Coliseum Alfonso Pérez,José González,Match Report,
12,Sat,2019-11-02,13:00 (08:00),Espanyol,1.4,1–2,1.7,Valencia,18428,RCDE Stadium,Valentín Pizarro,Match Report,
12,Sat,2019-11-02,16:00 (11:00),Levante,0.9,3–1,2.1,Barcelona,23341,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
12,Sat,2019-11-02,18:30 (13:30),Sevilla,0.8,1–1,1.9,Atlético Madrid,39957,Estadio Ramón Sánchez Pizjuán,José González,Match Report,
12,Sat,2019-11-02,21:00 (16:00),Real Madrid,2.3,0–0,0.5,Betis,70375,Estadio Santiago Bernabéu,José Sánchez,Match Report,
12,Sun,2019-11-03,12:00 (06:00),Valladolid,2.0,3–0,0.6,Mallorca,18419,Estadio Municipal José Zorrilla,David Medié,Match Report,
12,Sun,2019-11-03,14:00 (08:00),Villarreal,0.8,0–0,0.7,Athletic Club,17460,Estadio de la Cerámica,Santiago Jaime,Match Report,
12,Sun,2019-11-03,16:00 (10:00),Osasuna,3.8,4–2,1.7,Alavés,15954,Estadio El Sadar,José Luis Munuera,Match Report,
12,Sun,2019-11-03,18:30 (12:30),Leganés,1.2,1–2,0.8,Eibar,9649,Estadio Municipal de Butarque,Pablo González,Match Report,
12,Sun,2019-11-03,18:30 (12:30),Celta Vigo,0.2,0–1,0.5,Getafe,14704,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
12,Sun,2019-11-03,21:00 (15:00),Granada,0.2,1–2,0.9,Real Sociedad,16898,Estadio Nuevo Los Cármenes,Eduardo Prieto,Match Report,
13,Fri,2019-11-08,21:00 (15:00),Real Sociedad,1.1,1–1,0.9,Leganés,27684,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
13,Sat,2019-11-09,13:00 (07:00),Alavés,2.9,3–0,0.3,Valladolid,16148,Estadio de Mendizorroza,Mario Melero,Match Report,
13,Sat,2019-11-09,16:00 (10:00),Valencia,1.1,2–0,0.4,Granada,39882,Estadio de Mestalla,Javier Estrada,Match Report,
13,Sat,2019-11-09,18:30 (12:30),Eibar,0.7,0–4,2.7,Real Madrid,7045,Estadio Municipal de Ipurúa,Adrián Cordero,Match Report,
13,Sat,2019-11-09,21:00 (15:00),Barcelona,1.7,4–1,0.3,Celta Vigo,71209,Camp Nou,Guillermo Cuadra,Match Report,
13,Sun,2019-11-10,12:00 (06:00),Mallorca,1.7,3–1,2.7,Villarreal,8348,Iberostar Estadi,Carlos del Cerro,Match Report,
13,Sun,2019-11-10,14:00 (08:00),Athletic Club,2.1,2–1,0.8,Levante,33202,San Mamés,Alberola Rojas,Match Report,
13,Sun,2019-11-10,16:00 (10:00),Atlético Madrid,2.5,3–1,0.3,Espanyol,53069,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
13,Sun,2019-11-10,18:30 (12:30),Getafe,1.3,0–0,0.1,Osasuna,10558,Coliseum Alfonso Pérez,César Soto,Match Report,
13,Sun,2019-11-10,21:00 (15:00),Betis,1.4,1–2,0.8,Sevilla,52123,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
14,Fri,2019-11-22,21:00 (15:00),Levante,1.4,2–1,1.4,Mallorca,15110,Estadio Ciudad de Valencia,Valentín Pizarro,Match Report,
14,Sat,2019-11-23,13:00 (07:00),Leganés,0.4,1–2,1.6,Barcelona,12110,Estadio Municipal de Butarque,Santiago Jaime,Match Report,
14,Sat,2019-11-23,16:00 (10:00),Betis,1.8,2–1,0.8,Valencia,46545,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
14,Sat,2019-11-23,18:30 (12:30),Granada,0.6,1–1,1.4,Atlético Madrid,17003,Estadio Nuevo Los Cármenes,David Medié,Match Report,
14,Sat,2019-11-23,21:00 (15:00),Real Madrid,1.4,3–1,2.0,Real Sociedad,69305,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
14,Sun,2019-11-24,12:00 (06:00),Espanyol,1.0,1–1,0.7,Getafe,22031,RCDE Stadium,Pablo González,Match Report,
14,Sun,2019-11-24,14:00 (08:00),Osasuna,1.0,1–2,1.0,Athletic Club,16145,Estadio El Sadar,José Sánchez,Match Report,
14,Sun,2019-11-24,16:00 (10:00),Eibar,1.5,0–2,2.1,Alavés,6315,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz,Match Report,
14,Sun,2019-11-24,18:30 (12:30),Villarreal,0.8,1–3,1.9,Celta Vigo,17352,Estadio de la Cerámica,José Luis Munuera,Match Report,
14,Sun,2019-11-24,21:00 (15:00),Valladolid,0.6,0–1,1.2,Sevilla,18169,Estadio Municipal José Zorrilla,Eduardo Prieto,Match Report,
15,Fri,2019-11-29,21:00 (15:00),Celta Vigo,0.9,0–0,0.4,Valladolid,16918,Estadio de Balaídos,Alberola Rojas,Match Report,
15,Sat,2019-11-30,13:00 (07:00),Alavés,1.4,1–2,2.1,Real Madrid,19357,Estadio de Mendizorroza,Guillermo Cuadra,Match Report,
15,Sat,2019-11-30,16:00 (10:00),Real Sociedad,1.4,4–1,0.8,Eibar,28612,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
15,Sat,2019-11-30,18:30 (12:30),Mallorca,2.7,1–2,2.9,Betis,16810,Iberostar Estadi,Juan Martínez,Match Report,
15,Sat,2019-11-30,21:00 (15:00),Valencia,1.1,2–1,2.1,Villarreal,38521,Estadio de Mestalla,César Soto,Match Report,
15,Sun,2019-12-01,12:00 (06:00),Sevilla,1.9,1–0,0.8,Leganés,33648,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
15,Sun,2019-12-01,14:00 (08:00),Athletic Club,2.2,2–0,0.8,Granada,37974,San Mamés,Adrián Cordero,Match Report,
15,Sun,2019-12-01,16:00 (10:00),Espanyol,1.4,2–4,2.5,Osasuna,21238,RCDE Stadium,Mario Melero,Match Report,
15,Sun,2019-12-01,18:30 (12:30),Getafe,1.7,4–0,0.3,Levante,6535,Coliseum Alfonso Pérez,Javier Estrada,Match Report,
15,Sun,2019-12-01,21:00 (15:00),Atlético Madrid,1.2,0–1,1.1,Barcelona,64226,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
